Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,19,LAL,NBA,SF,1,1,22:00,7,16,.438,2,3,.667,2,2,1.000,2,6,1,2,0,1,1,18
1999-00,21,LAL,NBA,SG,1,1,28:00,7,16,.438,1,4,.250,0,0,,1,1,3,2,0,1,3,15
2000-01,22,LAL,NBA,SG,1,1,30:00,9,17,.529,1,2,.500,0,0,,2,4,7,1,0,3,3,19
2001-02,23,LAL,NBA,SG,1,1,30:00,12,25,.480,0,4,.000,7,7,1.000,2,5,5,1,0,0,2,31
2002-03,24,LAL,NBA,SG,1,1,36:00,8,17,.471,3,5,.600,3,6,.500,2,7,6,3,2,5,5,22
2003-04,25,LAL,NBA,SG,1,1,35:21,9,12,.750,2,3,.667,0,1,.000,1,4,4,5,1,6,3,20
2004-05,26,LAL,NBA,SG,1,1,29:21,7,14,.500,2,5,.400,0,0,,3,6,7,3,1,4,5,16
2005-06,27,LAL,NBA,SG,1,1,26:15,4,11,.364,0,5,.000,0,0,,0,7,8,3,0,3,5,8
2006-07,28,LAL,NBA,SG,1,1,28:09,13,24,.542,3,9,.333,2,2,1.000,1,5,6,6,0,4,1,31
2007-08,29,LAL,NBA,SG,1,1,2:52,0,0,,0,0,,0,0,,0,1,0,0,0,0,0,0
2008-09,30,LAL,NBA,SG,1,1,29:14,12,23,.522,3,8,.375,0,0,,1,4,4,4,0,1,0,27
2009-10,31,LAL,NBA,SG,,,,,,,,,,,,,,,,,,,,
2010-11,32,LAL,NBA,SG,1,1,29:21,14,26,.538,2,7,.286,7,8,.875,10,14,3,3,0,4,2,37
2011-12,33,LAL,NBA,SG,1,1,34:48,9,17,.529,2,5,.400,7,8,.875,0,1,1,2,0,1,2,27
2012-13,34,LAL,NBA,SG,1,1,27:36,4,9,.444,0,3,.000,1,2,.500,2,4,8,2,2,1,2,9
2013-14,35,LAL,NBA,SG,,,,,,,,,,,,,,,,,,,,
2014-15,36,LAL,NBA,SG,,0,,,,,,,,,,,,,,,,,,
2015-16,37,LAL,NBA,SF,1,1,25:49,4,11,.364,1,5,.200,1,2,.500,1,6,7,1,0,1,1,10
Career,,,NBA,,15,15,415,119,238,.500,22,68,.324,30,38,.789,28,75,70,38,6,35,35,290
