,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1996-97,18,LAL,NBA,42:41,9,16,4,7,7,11,9,10,4,4,8,5,3,2,5,5,24,22.0
1997-98,19,LAL,NBA,40:45,12,21,3,7,10,19,13,14,3,6,7,7,4,3,7,6,33,26.9
1998-99,20,LAL,NBA,45:32,15,24,4,6,13,22,10,13,4,12,13,10,6,4,8,6,38,28.1
1999-00,21,LAL,NBA,45:16,15,30,5,7,13,27,13,14,8,13,14,12,5,5,6,6,40,34.1
2000-01,22,LAL,NBA,51:38,20,35,3,10,19,32,23,26,5,11,12,11,6,5,8,6,51,38.1
2001-02,23,LAL,NBA,50:40,21,34,3,7,18,29,18,20,4,11,13,15,5,3,8,6,56,46.3
2002-03,24,LAL,NBA,53:54,19,47,12,18,17,39,18,21,6,10,15,14,6,3,8,5,55,41.5
2003-04,25,LAL,NBA,53:28,16,31,4,10,15,25,17,21,5,11,14,13,6,2,6,5,45,39.2
2004-05,26,LAL,NBA,50:06,16,33,9,15,14,26,17,22,5,12,14,14,5,3,9,6,48,36.6
2005-06,27,LAL,NBA,49:31,28,46,7,15,21,35,23,26,4,10,10,11,7,2,7,6,81,63.5
2006-07,28,LAL,NBA,54:28,23,45,8,14,18,35,21,24,4,10,13,13,5,3,9,6,65,50.9
2007-08,29,LAL,NBA,51:55,21,44,9,17,19,36,20,27,6,12,14,13,5,3,11,6,53,39.4
2008-09,30,LAL,NBA,45:13,19,38,6,9,16,29,20,20,5,11,13,13,5,2,6,6,61,47.3
2009-10,31,LAL,NBA,50:59,19,37,5,9,19,30,16,18,4,13,16,13,5,2,9,5,44,38.8
2010-11,32,LAL,NBA,48:00,16,33,4,10,13,26,14,17,4,11,12,14,4,1,8,5,42,33.8
2011-12,33,LAL,NBA,51:47,18,31,5,11,18,28,12,14,4,11,14,9,4,2,10,4,48,36.9
2012-13,34,LAL,NBA,48:00,16,41,5,12,14,33,18,20,4,11,12,14,5,4,10,5,47,42.8
2013-14,35,LAL,NBA,32:38,9,18,2,5,8,17,8,8,1,7,8,13,2,1,8,3,21,14.0
2014-15,36,LAL,NBA,44:15,15,37,5,12,12,30,11,16,3,10,11,17,5,2,10,5,44,27.0
2015-16,37,LAL,NBA,42:09,22,50,7,21,16,29,11,12,3,10,12,9,3,2,6,5,60,36.3
Career,,,,54:28,28,50,12,21,21,39,23,27,8,13,16,17,7,5,11,6,81,63.5
