Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,LAL,NBA,SF,9,0,14.8,2.3,6.1,.382,0.7,2.6,.261,1.7,3.6,.469,.436,2.9,3.3,.867,0.1,1.1,1.2,1.2,0.3,0.2,1.6,2.6,8.2
1997-98,19,LAL,NBA,SF,11,0,20.0,2.8,6.9,.408,0.3,1.3,.214,2.5,5.6,.452,.428,2.8,4.1,.689,0.6,1.3,1.9,1.5,0.3,0.7,1.0,2.5,8.7
1998-99,20,LAL,NBA,SG,8,8,39.4,7.6,17.8,.430,1.0,2.9,.348,6.6,14.9,.445,.458,3.5,4.4,.800,1.6,5.3,6.9,4.6,1.9,1.3,3.9,3.0,19.8
1999-00,21,LAL,NBA,SG,22,22,39.0,7.9,17.9,.442,1.0,2.9,.344,6.9,15.0,.461,.470,4.3,5.7,.754,1.2,3.3,4.5,4.4,1.5,1.5,2.5,4.0,21.1
2000-01,22,LAL,NBA,SG,16,16,43.4,10.5,22.4,.469,0.7,2.1,.324,9.8,20.3,.485,.485,7.8,9.4,.821,1.8,5.4,7.3,6.1,1.6,0.8,3.2,3.3,29.4
2001-02,23,LAL,NBA,SG,19,19,43.8,9.8,22.7,.434,1.2,3.1,.379,8.7,19.6,.442,.459,5.8,7.6,.759,1.5,4.4,5.8,4.6,1.4,0.9,2.8,3.4,26.6
2002-03,24,LAL,NBA,SG,12,12,44.3,11.4,26.4,.432,2.1,5.2,.403,9.3,21.3,.439,.472,7.2,8.7,.827,1.3,3.8,5.1,5.2,1.2,0.1,3.5,2.9,32.1
2003-04,25,LAL,NBA,SG,22,22,44.2,8.6,20.9,.413,1.1,4.4,.247,7.5,16.5,.457,.439,6.1,7.5,.813,0.8,3.9,4.7,5.5,1.9,0.3,2.8,2.7,24.5
2005-06,27,LAL,NBA,SG,7,7,44.9,10.3,20.7,.497,2.0,5.0,.400,8.3,15.7,.527,.545,5.3,6.9,.771,0.6,5.7,6.3,5.1,1.1,0.4,4.7,3.6,27.9
2006-07,28,LAL,NBA,SG,5,5,43.0,12.0,26.0,.462,2.0,5.6,.357,10.0,20.4,.490,.500,6.8,7.4,.919,0.2,5.0,5.2,4.4,1.0,0.4,4.4,2.0,32.8
2007-08,29,LAL,NBA,SG,21,21,41.1,10.6,22.0,.479,1.5,5.0,.302,9.0,17.0,.532,.514,7.5,9.2,.809,0.9,4.8,5.7,5.6,1.7,0.4,3.3,2.8,30.1
2008-09,30,LAL,NBA,SG,23,23,40.9,10.5,23.0,.457,1.6,4.6,.349,8.9,18.4,.483,.492,7.6,8.6,.883,0.8,4.5,5.3,5.5,1.7,0.9,2.6,2.6,30.2
2009-10,31,LAL,NBA,SG,23,23,40.1,10.2,22.2,.458,2.1,5.7,.374,8.0,16.5,.487,.506,6.7,8.0,.842,1.1,4.9,6.0,5.5,1.3,0.7,3.4,3.3,29.2
2010-11,32,LAL,NBA,SG,10,10,35.4,8.3,18.6,.446,1.2,4.1,.293,7.1,14.5,.490,.478,5.0,6.1,.820,0.8,2.6,3.4,3.3,1.6,0.3,3.1,2.3,22.8
2011-12,33,LAL,NBA,SG,12,12,39.7,11.0,25.1,.439,1.4,5.0,.283,9.6,20.1,.477,.467,6.6,7.9,.832,1.3,3.5,4.8,4.3,1.3,0.2,2.8,2.8,30.0
Career,,,NBA,,220,200,39.3,9.2,20.5,.448,1.3,4.0,.331,7.8,16.4,.476,.480,6.0,7.4,.816,1.0,4.0,5.1,4.7,1.4,0.7,2.9,3.0,25.6
