Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,18,LAL,NBA,SF,71,6,1103,8.4,20.2,.417,2.4,6.5,.375,6.0,13.7,.437,6.5,7.9,.819,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,,101,105
1997-98,19,LAL,NBA,SF,79,1,2056,9.8,22.8,.428,1.9,5.5,.341,7.9,17.3,.456,9.1,11.4,.794,2.0,4.1,6.0,5.0,1.8,1.0,3.9,4.5,30.4,,110,106
1998-99,20,LAL,NBA,SG,50,50,1896,10.0,21.5,.465,0.7,2.8,.267,9.3,18.7,.494,6.8,8.1,.839,1.5,5.8,7.3,5.2,2.0,1.4,4.3,4.2,27.5,,106,104
1999-00,21,LAL,NBA,SG,66,62,2524,11.3,24.1,.468,0.9,2.9,.319,10.3,21.2,.489,6.7,8.2,.821,2.2,6.3,8.5,6.6,2.2,1.3,3.7,4.5,30.3,,110,98
2000-01,22,LAL,NBA,SG,68,68,2783,13.2,28.4,.464,1.1,3.8,.305,12.0,24.6,.489,8.9,10.5,.853,2.0,5.5,7.5,6.4,2.1,0.8,4.1,4.2,36.4,,112,105
2001-02,23,LAL,NBA,SG,80,80,3063,12.7,27.2,.469,0.6,2.2,.250,12.2,24.9,.489,8.3,10.0,.829,1.9,5.6,7.5,7.5,2.0,0.6,3.8,3.9,34.4,,112,103
2002-03,24,LAL,NBA,SG,82,82,3401,13.2,29.4,.451,1.9,4.9,.383,11.4,24.4,.465,9.2,10.9,.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,,111,103
2003-04,25,LAL,NBA,SG,65,64,2447,11.0,25.0,.438,1.5,4.6,.327,9.5,20.4,.463,9.7,11.3,.852,2.2,5.4,7.6,7.0,2.4,0.6,3.6,3.7,33.1,,112,102
2004-05,26,LAL,NBA,SG,66,66,2689,11.3,26.0,.433,2.6,7.6,.339,8.7,18.4,.472,10.7,13.0,.816,1.9,5.8,7.7,7.8,1.7,1.0,5.3,3.4,35.7,,111,111
2005-06,27,LAL,NBA,SG,80,80,3277,15.8,35.0,.450,2.9,8.3,.347,12.9,26.7,.482,11.2,13.2,.850,1.1,5.7,6.8,5.8,2.4,0.5,4.0,3.8,45.6,,114,105
2006-07,28,LAL,NBA,SG,77,77,3140,13.3,28.7,.463,2.2,6.5,.344,11.0,22.2,.497,10.9,12.6,.868,1.2,5.9,7.2,6.7,1.8,0.6,4.2,3.4,39.7,,115,109
2007-08,29,LAL,NBA,SG,82,82,3192,12.2,26.6,.459,2.4,6.5,.361,9.8,20.1,.490,9.8,11.7,.840,1.5,6.7,8.1,6.9,2.4,0.6,4.0,3.6,36.5,,115,105
2008-09,30,LAL,NBA,SG,82,82,2960,13.8,29.4,.467,2.0,5.8,.351,11.7,23.7,.496,8.3,9.7,.856,1.5,5.8,7.4,6.9,2.1,0.6,3.6,3.3,37.8,,115,106
2009-10,31,LAL,NBA,SG,73,73,2835,13.1,28.6,.456,1.8,5.5,.329,11.3,23.1,.487,8.0,9.9,.811,1.4,5.7,7.1,6.7,2.1,0.4,4.3,3.4,35.9,,109,104
2010-11,32,LAL,NBA,SG,82,82,2779,14.1,31.2,.451,2.2,6.8,.323,11.9,24.4,.487,9.2,11.1,.828,1.6,6.4,8.0,7.4,1.9,0.2,4.6,3.3,39.6,,111,105
2011-12,33,LAL,NBA,SG,58,58,2232,13.6,31.7,.430,2.1,6.8,.303,11.6,24.9,.464,9.1,10.7,.845,1.6,5.9,7.4,6.3,1.6,0.4,4.8,2.5,38.4,,105,106
2012-13,34,LAL,NBA,SG,78,78,3013,12.5,26.9,.463,2.2,6.9,.324,10.2,20.0,.510,8.9,10.6,.839,1.1,6.2,7.3,7.9,1.8,0.4,4.8,2.9,36.0,,112,107
2013-14,35,LAL,NBA,SG,6,6,177,8.5,20.1,.425,0.8,4.4,.188,7.7,15.7,.491,4.9,5.8,.857,0.5,6.6,7.1,10.4,1.9,0.3,9.3,2.5,22.8,,84,111
2014-15,36,LAL,NBA,SG,35,35,1207,11.3,30.2,.373,2.3,7.8,.293,9.0,22.4,.401,8.3,10.2,.813,1.1,7.3,8.4,8.3,2.0,0.3,5.4,2.8,33.1,,96,110
2015-16,37,LAL,NBA,SF,66,66,1863,10.7,30.0,.358,3.6,12.6,.285,7.1,17.4,.410,6.3,7.6,.826,1.1,5.6,6.7,5.0,1.7,0.4,3.5,3.1,31.3,,95,113
Career,,,NBA,,1346,1198,48637,12.5,27.9,.447,1.9,5.9,.329,10.5,22.0,.479,8.9,10.7,.837,1.6,5.9,7.5,6.7,2.1,0.7,4.3,3.6,35.8,,110,105
