,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1996-97,18,LAL,NBA,28:35,7,14,3,6,5,10,13,14,1,4,4,3,1,1,5,5,22,14.8
1997-98,19,LAL,NBA,36:25,9,16,1,5,8,15,8,12,3,3,5,4,1,2,3,5,22,15.8
1998-99,20,LAL,NBA,47:41,12,25,2,5,11,22,6,6,4,7,9,8,4,4,7,6,28,18.5
1999-00,21,LAL,NBA,48:00,14,30,6,9,14,27,9,13,5,11,11,7,4,4,7,6,35,25.7
2000-01,22,LAL,NBA,52:05,19,35,2,4,18,33,17,19,9,10,16,11,3,3,6,4,48,43.3
2001-02,23,LAL,NBA,52:33,15,31,4,9,15,29,12,13,3,9,11,8,3,3,6,6,36,26.4
2002-03,24,LAL,NBA,50:38,16,38,5,11,15,34,17,19,3,6,8,8,3,1,7,5,39,30.7
2003-04,25,LAL,NBA,50:14,15,27,4,8,13,23,16,17,3,8,10,10,5,2,5,5,42,36.1
2005-06,27,LAL,NBA,52:06,20,35,5,8,15,27,7,9,1,10,10,8,4,1,7,5,50,33.8
2006-07,28,LAL,NBA,46:22,15,33,4,8,13,25,13,13,1,7,7,9,2,1,6,3,45,34.3
2007-08,29,LAL,NBA,46:32,18,33,5,10,14,28,21,23,3,8,10,10,5,2,6,5,49,43.6
2008-09,30,LAL,NBA,48:52,16,34,4,10,16,33,15,17,3,8,8,10,4,4,7,5,41,33.9
2009-10,31,LAL,NBA,44:51,15,29,6,11,12,23,13,15,4,11,15,13,4,4,7,5,40,35.8
2010-11,32,LAL,NBA,42:05,14,29,4,9,12,24,10,10,2,6,6,8,5,1,5,4,36,21.7
2011-12,33,LAL,NBA,45:08,18,33,5,11,17,27,18,18,3,6,8,8,4,1,6,4,43,29.7
Career,,,,52:33,20,38,6,11,18,34,21,23,9,11,16,13,5,4,7,6,50,43.6
