Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,18,LAL,NBA,SF,9,0,133,8.8,23.0,.382,2.5,9.6,.261,6.3,13.4,.469,10.9,12.5,.867,0.4,4.2,4.6,4.6,1.3,0.8,5.8,9.6,30.9,,100,110
1997-98,19,LAL,NBA,SF,11,0,220,7.6,18.7,.408,0.7,3.5,.214,6.9,15.3,.452,7.6,11.1,.689,1.7,3.5,5.2,3.9,0.7,2.0,2.7,6.9,23.7,,106,116
1998-99,20,LAL,NBA,SG,8,8,315,10.2,23.8,.430,1.3,3.9,.348,8.9,20.0,.445,4.7,5.9,.800,2.2,7.0,9.2,6.2,2.5,1.7,5.2,4.0,26.5,,96,104
1999-00,21,LAL,NBA,SG,22,22,857,10.8,24.5,.442,1.4,4.0,.344,9.4,20.5,.461,5.9,7.8,.754,1.6,4.5,6.1,6.0,2.0,2.0,3.4,5.5,28.9,,107,107
2000-01,22,LAL,NBA,SG,16,16,694,12.6,26.9,.469,0.8,2.6,.324,11.8,24.4,.485,9.3,11.4,.821,2.2,6.5,8.7,7.3,1.9,0.9,3.8,4.0,35.4,,116,99
2001-02,23,LAL,NBA,SG,19,19,833,11.8,27.1,.434,1.4,3.7,.379,10.4,23.5,.442,6.9,9.1,.759,1.8,5.2,7.0,5.5,1.7,1.1,3.4,4.1,31.9,,106,103
2002-03,24,LAL,NBA,SG,12,12,531,13.3,30.9,.432,2.4,6.0,.403,10.9,24.8,.439,8.4,10.1,.827,1.6,4.4,5.9,6.0,1.4,0.1,4.1,3.4,37.5,,108,110
2003-04,25,LAL,NBA,SG,22,22,973,10.8,26.2,.413,1.4,5.5,.247,9.5,20.7,.457,7.7,9.5,.813,1.0,4.9,5.9,6.9,2.4,0.4,3.5,3.4,30.7,,103,101
2005-06,27,LAL,NBA,SG,7,7,314,12.0,24.2,.497,2.3,5.8,.400,9.7,18.3,.527,6.2,8.0,.771,0.7,6.7,7.3,6.0,1.3,0.5,5.5,4.2,32.5,,108,114
2006-07,28,LAL,NBA,SG,5,5,215,14.2,30.7,.462,2.4,6.6,.357,11.8,24.1,.490,8.0,8.7,.919,0.2,5.9,6.1,5.2,1.2,0.5,5.2,2.4,38.8,,111,116
2007-08,29,LAL,NBA,SG,21,21,863,13.3,27.8,.479,1.9,6.4,.302,11.4,21.4,.532,9.4,11.6,.809,1.1,6.1,7.1,7.0,2.1,0.5,4.2,3.5,38.0,,113,108
2008-09,30,LAL,NBA,SG,23,23,940,13.6,29.7,.457,2.1,5.9,.349,11.5,23.8,.483,9.8,11.0,.883,1.1,5.8,6.9,7.1,2.1,1.2,3.3,3.3,39.0,,117,104
2009-10,31,LAL,NBA,SG,23,23,923,13.6,29.7,.458,2.8,7.6,.374,10.7,22.1,.487,8.9,10.6,.842,1.5,6.5,8.0,7.3,1.8,0.9,4.6,4.4,38.9,,115,109
2010-11,32,LAL,NBA,SG,10,10,354,13.0,29.2,.446,1.9,6.4,.293,11.1,22.7,.490,7.8,9.6,.820,1.3,4.1,5.3,5.2,2.5,0.5,4.9,3.6,35.8,,105,110
2011-12,33,LAL,NBA,SG,12,12,476,14.9,34.0,.439,1.9,6.8,.283,13.0,27.2,.477,8.9,10.7,.832,1.8,4.7,6.6,5.9,1.8,0.2,3.8,3.7,40.7,,109,112
Career,,,NBA,,220,200,8641,12.4,27.7,.448,1.8,5.4,.331,10.6,22.2,.476,8.1,9.9,.816,1.4,5.5,6.9,6.4,1.9,0.9,4.0,4.1,34.7,,110,106
