,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1996-97,18,LAL,NBA,SF,9,133,.382,15.1,,.582,.291,.036,.145,.109,.418,,.469,.563,.500,.375,.333,.261,,.467,1.000,,.091,5,,.000,,,1,0
1997-98,19,LAL,NBA,SF,11,220,.408,10.3,,.816,.382,.145,.171,.118,.184,,.452,.379,.545,.692,.222,.214,,.286,.667,,.092,6,,.000,,,1,0
1998-99,20,LAL,NBA,SG,8,315,.430,11.5,,.838,.275,.169,.239,.155,.162,,.445,.462,.583,.412,.318,.348,,.358,.750,,.042,6,,.087,.500,,0,0
1999-00,21,LAL,NBA,SG,22,857,.442,13.7,,.838,.160,.190,.203,.284,.162,,.461,.603,.427,.388,.455,.344,,.309,.591,,.033,13,,.063,.250,,3,0
2000-01,22,LAL,NBA,SG,16,694,.469,11.3,,.905,.260,.184,.187,.274,.095,,.485,.624,.470,.448,.388,.324,,.350,.818,,.036,11,,.088,.667,,1,0
2001-02,23,LAL,NBA,SG,19,833,.434,11.8,,.865,.267,.176,.186,.237,.135,,.442,.548,.434,.413,.353,.379,,.261,.682,,.049,19,,.086,.800,,1,0
2002-03,24,LAL,NBA,SG,12,531,.432,13.6,,.804,.224,.126,.177,.278,.196,,.439,.592,.350,.446,.352,.403,,.366,.560,,.044,13,,.177,.636,,1,0
2003-04,25,LAL,NBA,SG,22,973,.413,13.9,,.789,.226,.126,.165,.272,.211,,.457,.654,.500,.355,.336,.247,,.410,.875,,.035,16,,.186,.278,,3,0
2005-06,27,LAL,NBA,SG,7,314,.497,15.0,,.759,.200,.145,.076,.338,.241,,.527,.828,.476,.455,.388,.400,,.172,.429,,.028,4,,.114,.250,,0,0
2006-07,28,LAL,NBA,SG,5,215,.462,14.5,,.785,.223,.131,.123,.308,.215,,.490,.655,.471,.375,.425,.357,,.160,.000,,.031,3,,.036,1.000,,1,0
2007-08,29,LAL,NBA,SG,21,863,.479,13.9,,.771,.227,.119,.164,.261,.229,,.532,.629,.636,.500,.421,.302,,.300,.625,,.048,19,,.047,.200,,0,0
2008-09,30,LAL,NBA,SG,23,940,.457,14.6,,.800,.189,.102,.192,.317,.200,,.483,.590,.407,.451,.464,.349,,.195,.459,,.021,11,,.113,.667,,2,0
2009-10,31,LAL,NBA,SG,23,923,.458,15.1,,.744,.160,.143,.198,.243,.256,,.487,.549,.521,.475,.435,.374,,.270,.612,,.014,7,,.084,.364,,2,0
2010-11,32,LAL,NBA,SG,10,354,.446,14.6,,.780,.113,.204,.253,.210,.220,,.490,.619,.500,.468,.436,.293,,.366,.583,,.022,4,,.073,.000,,0,0
2011-12,33,LAL,NBA,SG,12,476,.439,13.9,,.801,.209,.163,.169,.259,.199,,.477,.651,.347,.529,.385,.283,,.383,.765,,.033,10,,.067,.500,,0,0
Career,,,NBA,,220,8641,.448,13.6,,.804,.213,.146,.182,.263,.196,,.476,.599,.469,.445,.402,.331,,.304,.613,,.035,147,,.094,.446,,16,0
