Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2000-01,22,DAL,NBA,PF,10,10,399,9.4,22.2,.423,1.8,6.3,.283,7.6,15.9,.479,11.3,12.8,.883,1.9,9.1,11.0,1.9,1.5,1.1,1.9,5.0,31.8,,119,106
2001-02,23,DAL,NBA,C,8,8,357,10.2,22.9,.445,2.2,3.9,.571,8.0,19.0,.419,9.1,10.3,.878,2.4,12.3,14.7,2.5,2.2,0.8,3.1,3.8,31.7,,115,105
2002-03,24,DAL,NBA,PF,17,17,722,10.7,22.3,.479,1.9,4.3,.443,8.8,18.0,.488,7.3,8.1,.912,1.1,12.9,14.0,2.6,1.5,1.1,2.9,3.7,30.7,,115,106
2003-04,25,DAL,NBA,C,5,5,212,10.6,23.5,.450,1.6,3.5,.467,8.9,20.0,.447,8.5,9.9,.857,3.1,10.8,13.9,1.6,1.6,3.1,1.4,3.8,31.3,,125,98
2004-05,26,DAL,NBA,PF,13,13,551,9.7,24.2,.402,0.9,2.8,.333,8.8,21.4,.412,8.7,10.5,.829,2.4,10.0,12.4,4.1,1.7,2.0,3.1,4.0,29.1,,109,111
2005-06,27,DAL,NBA,PF,23,23,983,10.8,23.0,.468,1.3,3.7,.343,9.5,19.3,.491,11.3,12.6,.895,2.6,12.1,14.7,3.7,1.4,0.8,2.7,3.5,34.0,,124,103
2006-07,28,DAL,NBA,PF,6,6,239,7.8,20.3,.383,0.9,4.1,.211,6.9,16.2,.427,9.1,10.8,.840,5.4,9.3,14.7,3.0,2.4,1.7,3.0,4.3,25.4,,111,109
2007-08,29,DAL,NBA,PF,5,5,211,11.2,23.8,.473,1.6,4.7,.333,9.7,19.1,.507,11.0,13.6,.808,2.6,13.1,15.7,5.2,0.3,1.8,2.6,3.4,35.0,,124,115
2008-09,30,DAL,NBA,PF,10,10,394,11.9,23.0,.518,0.8,2.8,.286,11.1,20.2,.550,11.7,12.6,.925,1.6,12.1,13.7,4.2,1.2,1.1,3.1,2.8,36.3,,126,112
2009-10,31,DAL,NBA,PF,6,6,233,13.5,24.7,.547,0.9,1.6,.571,12.6,23.1,.545,9.3,9.8,.952,1.6,9.8,11.4,4.2,1.2,0.9,2.3,3.5,37.3,,130,105
2010-11,32,DAL,NBA,PF,21,21,826,12.9,26.6,.485,1.5,3.4,.460,11.3,23.2,.488,11.7,12.5,.941,0.8,10.7,11.5,3.6,0.8,0.9,4.4,3.1,39.1,,115,105
2011-12,33,DAL,NBA,PF,4,4,154,11.7,26.5,.442,0.3,2.1,.167,11.3,24.4,.465,13.1,14.4,.905,1.0,7.6,8.6,2.4,1.0,0.0,3.4,3.1,36.8,,111,113
2013-14,35,DAL,NBA,PF,7,7,263,10.7,25.0,.429,0.2,2.4,.083,10.5,22.6,.465,5.0,6.2,.806,1.0,10.1,11.1,2.2,1.2,1.2,3.0,4.0,26.6,,96,110
2014-15,36,DAL,NBA,PF,5,5,181,9.9,21.9,.452,1.0,4.4,.235,8.8,17.4,.507,6.8,7.3,.929,1.0,12.5,13.5,3.1,0.5,0.5,2.6,4.2,27.6,,111,111
2015-16,37,DAL,NBA,PF,5,5,170,12.6,25.5,.494,1.2,3.4,.364,11.4,22.1,.514,4.9,5.2,.941,0.9,6.5,7.4,2.5,0.6,0.9,2.2,2.8,31.4,,109,123
Career,,,NBA,,145,145,5895,10.9,23.7,.462,1.3,3.7,.365,9.6,20.0,.479,9.6,10.8,.892,1.9,11.1,12.9,3.2,1.3,1.2,2.9,3.6,32.8,,117,107
