 
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000-01,22,DAL,NBA,PF,10,399,22.3,.573,.282,.577,3.7,19.5,11.3,7.0,1.5,1.5,6.4,25.3,,1.4,0.3,1.7,.206,,5.3,1.0,6.3,0.8
2001-02,23,DAL,NBA,C,8,357,24.8,.577,.171,.451,5.1,26.1,15.7,8.2,2.2,1.2,10.1,26.7,,1.1,0.3,1.4,.193,,5.8,0.6,6.4,0.8
2002-03,24,DAL,NBA,PF,17,722,23.2,.593,.195,.361,2.3,27.7,14.9,8.7,1.5,1.7,9.9,25.1,,1.9,0.6,2.6,.172,,4.7,0.3,5.0,1.3
2003-04,25,DAL,NBA,C,5,212,27.5,.561,.150,.420,5.3,23.5,13.4,5.7,1.6,4.4,4.8,23.4,,1.0,0.2,1.3,.287,,6.9,2.6,9.5,0.6
2004-05,26,DAL,NBA,PF,13,551,20.1,.505,.117,.434,5.0,22.4,13.4,13.0,1.7,2.9,9.8,27.0,,0.9,0.3,1.2,.104,,3.3,0.4,3.7,0.8
2005-06,27,DAL,NBA,PF,23,983,26.8,.596,.160,.547,5.6,28.0,16.5,12.6,1.4,1.2,8.6,26.9,,3.8,1.6,5.4,.263,,7.8,1.5,9.2,2.8
2006-07,28,DAL,NBA,PF,6,239,20.9,.509,.202,.532,11.5,20.5,15.9,10.4,2.4,3.2,10.8,23.7,,0.5,0.1,0.6,.128,,3.3,-0.2,3.1,0.3
2007-08,29,DAL,NBA,PF,5,211,26.3,.588,.198,.571,5.0,27.9,15.8,20.9,0.3,2.4,8.1,27.2,,0.8,0.0,0.9,.196,,7.7,1.9,9.6,0.6
2008-09,30,DAL,NBA,PF,10,394,28.4,.635,.124,.547,3.9,26.6,15.8,15.2,1.2,1.7,9.8,28.2,,1.7,0.2,2.0,.238,,6.2,0.6,6.9,0.9
2009-10,31,DAL,NBA,PF,6,233,28.3,.643,.066,.396,3.4,20.1,11.8,16.8,1.2,1.3,7.4,27.0,,1.1,0.3,1.4,.291,,8.1,2.6,10.7,0.8
2010-11,32,DAL,NBA,PF,21,826,25.2,.609,.126,.470,1.8,23.2,12.7,13.3,0.8,1.3,12.0,32.0,,2.7,0.9,3.6,.210,,4.7,0.8,5.5,1.6
2011-12,33,DAL,NBA,PF,4,154,22.5,.560,.078,.545,2.2,18.4,9.8,10.4,1.0,0.0,9.5,31.5,,0.5,0.0,0.4,.139,,3.7,-0.5,3.2,0.2
2013-14,35,DAL,NBA,PF,7,263,13.9,.480,.095,.246,2.1,24.6,12.4,6.9,1.2,1.8,9.7,26.5,,-0.2,0.2,0.1,.011,,-0.5,-0.8,-1.3,0.0
2014-15,36,DAL,NBA,PF,5,181,18.0,.550,.202,.333,2.2,28.3,14.8,10.1,0.5,0.9,9.4,24.0,,0.4,0.1,0.4,.114,,2.1,-0.4,1.7,0.2
2015-16,37,DAL,NBA,PF,5,170,18.7,.564,.133,.205,2.0,15.0,8.2,9.5,0.6,1.5,7.2,26.6,,0.3,-0.2,0.1,.034,,3.2,-1.0,2.2,0.2
Career,,,NBA,,145,5895,23.8,.577,.154,.456,4.0,24.4,14.0,11.4,1.3,1.7,9.4,27.1,,18.0,5.1,23.1,.188,,5.2,0.7,5.9,11.8
