,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2000-01,22,DAL,NBA,48:00,14,24,5,10,14,23,14,18,6,12,18,2,6,2,3,6,42,41.3
2001-02,23,DAL,NBA,48:00,13,28,4,5,10,23,14,16,5,14,17,7,4,3,5,6,39,35.0
2002-03,24,DAL,NBA,58:00,16,27,5,6,12,22,17,17,3,18,20,9,3,3,4,5,46,37.8
2003-04,25,DAL,NBA,48:00,12,23,4,6,10,21,11,14,7,13,14,3,3,5,3,5,32,33.0
2004-05,26,DAL,NBA,51:25,13,25,2,6,12,22,11,14,4,13,14,6,4,5,6,5,34,26.4
2005-06,27,DAL,NBA,49:34,14,26,5,10,12,21,21,24,8,19,21,6,3,3,6,5,50,42.3
2006-07,28,DAL,NBA,47:09,9,19,2,6,7,15,14,15,6,9,15,4,4,3,4,5,30,26.3
2007-08,29,DAL,NBA,48:00,11,21,2,5,10,17,12,15,3,18,19,6,1,2,4,3,32,30.9
2008-09,30,DAL,NBA,45:17,14,25,2,5,14,25,16,17,3,14,16,7,2,2,5,5,44,36.4
2009-10,31,DAL,NBA,43:13,13,24,2,4,12,23,12,12,3,10,11,4,2,2,3,5,36,34.3
2010-11,32,DAL,NBA,45:00,12,27,4,7,12,22,24,24,3,13,14,5,2,4,7,5,48,46.5
2011-12,33,DAL,NBA,40:25,10,25,1,2,10,24,13,13,1,8,9,4,1,0,6,3,34,24.4
2013-14,35,DAL,NBA,39:15,11,21,1,3,11,19,6,7,2,14,15,3,2,2,4,5,26,18.1
2014-15,36,DAL,NBA,39:02,10,23,3,7,9,17,11,11,2,15,15,4,1,1,6,5,34,28.8
2015-16,37,DAL,NBA,39:59,12,21,3,6,12,20,5,5,1,7,8,5,1,2,2,3,27,20.3
Career,,,,58:00,16,28,5,10,14,25,24,24,8,19,21,9,6,5,7,6,50,46.5
