Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,22,DAL,NBA,PF,10,10,399,6.2,14.7,.423,1.2,4.2,.283,5.1,10.6,.479,7.5,8.5,.883,1.3,6.0,7.3,1.3,1.0,0.7,1.3,3.3,21.1
2001-02,23,DAL,NBA,C,8,8,357,7.4,16.5,.445,1.6,2.8,.571,5.7,13.7,.419,6.6,7.5,.878,1.7,8.9,10.6,1.8,1.6,0.6,2.2,2.7,22.9
2002-03,24,DAL,NBA,PF,17,17,722,7.5,15.6,.479,1.3,3.0,.443,6.1,12.6,.488,5.1,5.6,.912,0.7,9.0,9.8,1.8,1.0,0.8,2.0,2.6,21.4
2003-04,25,DAL,NBA,C,5,5,212,7.6,17.0,.450,1.2,2.5,.467,6.5,14.4,.447,6.1,7.1,.857,2.2,7.8,10.0,1.2,1.2,2.2,1.0,2.7,22.6
2004-05,26,DAL,NBA,PF,13,13,551,6.7,16.7,.402,0.7,2.0,.333,6.1,14.8,.412,6.0,7.3,.829,1.6,6.9,8.6,2.8,1.2,1.4,2.2,2.7,20.1
2005-06,27,DAL,NBA,PF,23,23,983,7.2,15.3,.468,0.8,2.5,.343,6.3,12.9,.491,7.5,8.4,.895,1.7,8.1,9.8,2.5,0.9,0.5,1.8,2.3,22.7
2006-07,28,DAL,NBA,PF,6,6,239,5.4,14.2,.383,0.6,2.9,.211,4.8,11.3,.427,6.3,7.5,.840,3.8,6.5,10.2,2.1,1.7,1.2,2.1,3.0,17.8
2007-08,29,DAL,NBA,PF,5,5,211,7.3,15.5,.473,1.0,3.1,.333,6.3,12.5,.507,7.2,8.9,.808,1.7,8.5,10.2,3.4,0.2,1.2,1.7,2.2,22.9
2008-09,30,DAL,NBA,PF,10,10,394,8.0,15.5,.518,0.5,1.9,.286,7.5,13.6,.550,7.9,8.5,.925,1.1,8.1,9.2,2.8,0.8,0.7,2.1,1.9,24.5
2009-10,31,DAL,NBA,PF,6,6,233,9.0,16.4,.547,0.6,1.1,.571,8.3,15.3,.545,6.2,6.5,.952,1.1,6.5,7.6,2.8,0.8,0.6,1.5,2.3,24.7
2010-11,32,DAL,NBA,PF,21,21,826,8.4,17.3,.485,1.0,2.2,.460,7.4,15.1,.488,7.6,8.1,.941,0.5,6.9,7.5,2.3,0.5,0.6,2.8,2.0,25.4
2011-12,33,DAL,NBA,PF,4,4,154,7.9,18.0,.442,0.2,1.4,.167,7.7,16.6,.465,8.9,9.8,.905,0.7,5.1,5.8,1.6,0.7,0.0,2.3,2.1,25.0
2013-14,35,DAL,NBA,PF,7,7,263,7.4,17.2,.429,0.1,1.6,.083,7.3,15.6,.465,3.4,4.2,.806,0.7,7.0,7.7,1.5,0.8,0.8,2.1,2.7,18.3
2014-15,36,DAL,NBA,PF,5,5,181,7.6,16.7,.452,0.8,3.4,.235,6.8,13.3,.507,5.2,5.6,.929,0.8,9.5,10.3,2.4,0.4,0.4,2.0,3.2,21.1
2015-16,37,DAL,NBA,PF,5,5,170,8.7,17.6,.494,0.8,2.3,.364,7.8,15.2,.514,3.4,3.6,.941,0.6,4.4,5.1,1.7,0.4,0.6,1.5,1.9,21.6
Career,,,NBA,,145,145,5895,7.5,16.1,.462,0.9,2.5,.365,6.5,13.6,.479,6.6,7.4,.892,1.3,7.5,8.8,2.2,0.9,0.8,2.0,2.5,22.4
