Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,22,DAL,NBA,PF,10,10,39.9,6.9,16.3,.423,1.3,4.6,.283,5.6,11.7,.479,.463,8.3,9.4,.883,1.4,6.7,8.1,1.4,1.1,0.8,1.4,3.7,23.4
2001-02,23,DAL,NBA,C,8,8,44.6,9.1,20.5,.445,2.0,3.5,.571,7.1,17.0,.419,.494,8.1,9.3,.878,2.1,11.0,13.1,2.3,2.0,0.8,2.8,3.4,28.4
2002-03,24,DAL,NBA,PF,17,17,42.5,8.8,18.4,.479,1.6,3.6,.443,7.2,14.8,.488,.522,6.1,6.6,.912,0.9,10.6,11.5,2.2,1.2,0.9,2.4,3.1,25.3
2003-04,25,DAL,NBA,C,5,5,42.4,9.0,20.0,.450,1.4,3.0,.467,7.6,17.0,.447,.485,7.2,8.4,.857,2.6,9.2,11.8,1.4,1.4,2.6,1.2,3.2,26.6
2004-05,26,DAL,NBA,PF,13,13,42.4,7.9,19.7,.402,0.8,2.3,.333,7.2,17.4,.412,.422,7.1,8.5,.829,1.9,8.2,10.1,3.3,1.4,1.6,2.5,3.2,23.7
2005-06,27,DAL,NBA,PF,23,23,42.7,8.5,18.2,.468,1.0,2.9,.343,7.5,15.3,.491,.495,8.9,10.0,.895,2.0,9.6,11.7,2.9,1.1,0.6,2.1,2.8,27.0
2006-07,28,DAL,NBA,PF,6,6,39.8,6.0,15.7,.383,0.7,3.2,.211,5.3,12.5,.427,.404,7.0,8.3,.840,4.2,7.2,11.3,2.3,1.8,1.3,2.3,3.3,19.7
2007-08,29,DAL,NBA,PF,5,5,42.2,8.6,18.2,.473,1.2,3.6,.333,7.4,14.6,.507,.505,8.4,10.4,.808,2.0,10.0,12.0,4.0,0.2,1.4,2.0,2.6,26.8
2008-09,30,DAL,NBA,PF,10,10,39.4,8.8,17.0,.518,0.6,2.1,.286,8.2,14.9,.550,.535,8.6,9.3,.925,1.2,8.9,10.1,3.1,0.9,0.8,2.3,2.1,26.8
2009-10,31,DAL,NBA,PF,6,6,38.8,9.7,17.7,.547,0.7,1.2,.571,9.0,16.5,.545,.566,6.7,7.0,.952,1.2,7.0,8.2,3.0,0.8,0.7,1.7,2.5,26.7
2010-11,32,DAL,NBA,PF,21,21,39.3,9.1,18.9,.485,1.1,2.4,.460,8.0,16.5,.488,.514,8.3,8.9,.941,0.6,7.6,8.1,2.5,0.6,0.6,3.1,2.2,27.7
2011-12,33,DAL,NBA,PF,4,4,38.5,8.5,19.3,.442,0.3,1.5,.167,8.3,17.8,.465,.448,9.5,10.5,.905,0.8,5.5,6.3,1.8,0.8,0.0,2.5,2.3,26.8
2013-14,35,DAL,NBA,PF,7,7,37.6,7.7,18.0,.429,0.1,1.7,.083,7.6,16.3,.465,.433,3.6,4.4,.806,0.7,7.3,8.0,1.6,0.9,0.9,2.1,2.9,19.1
2014-15,36,DAL,NBA,PF,5,5,36.2,7.6,16.8,.452,0.8,3.4,.235,6.8,13.4,.507,.476,5.2,5.6,.929,0.8,9.6,10.4,2.4,0.4,0.4,2.0,3.2,21.2
2015-16,37,DAL,NBA,PF,5,5,34.0,8.2,16.6,.494,0.8,2.2,.364,7.4,14.4,.514,.518,3.2,3.4,.941,0.6,4.2,4.8,1.6,0.4,0.6,1.4,1.8,20.4
Career,,,NBA,,145,145,40.7,8.4,18.2,.462,1.0,2.8,.365,7.4,15.4,.479,.490,7.4,8.3,.892,1.5,8.5,10.0,2.5,1.0,0.9,2.3,2.8,25.3
