 
,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,22,DAL,NBA,PF,10,399,,,2%,77%,21%,-4.4,-0.7,6,6,12,2,43,,34,10,9
2001-02,23,DAL,NBA,C,8,357,,,,17%,83%,-1.7,-20.2,12,6,16,1,31,,42,8,9
2002-03,24,DAL,NBA,PF,17,722,,,11%,58%,30%,-0.3,+1.6,25,10,33,3,48,,88,12,16
2003-04,25,DAL,NBA,C,5,212,,,,,100%,+0.4,-2.7,3,3,11,0,14,,15,1,2
2004-05,26,DAL,NBA,PF,13,551,,,,51%,49%,-2.7,-5.2,15,11,25,4,47,,96,12,20
2005-06,27,DAL,NBA,PF,23,983,,,,77%,24%,+5.2,+6.9,29,10,42,6,81,7,151,17,16
2006-07,28,DAL,NBA,PF,6,239,,,,58%,42%,-6.8,+4.6,4,6,10,3,17,0,34,2,2
2007-08,29,DAL,NBA,PF,5,211,,,,95%,5%,-8.8,+13.1,3,5,3,2,18,2,46,3,4
2008-09,30,DAL,NBA,PF,10,394,,,,99%,1%,+1.7,+15.9,10,8,12,5,34,2,80,7,11
2009-10,31,DAL,NBA,PF,6,233,,,,92%,8%,-3.8,-16.1,6,1,6,2,15,0,44,6,2
2010-11,32,DAL,NBA,PF,21,826,,,,97%,3%,+10.2,+16.8,27,23,27,10,61,1,134,10,29
2011-12,33,DAL,NBA,PF,4,154,,,,78%,22%,-8.1,-9.7,3,4,4,3,14,0,19,6,8
2013-14,35,DAL,NBA,PF,7,263,,,,69%,31%,-7.5,-22.0,5,6,11,4,12,1,23,1,0
2014-15,36,DAL,NBA,PF,5,181,,,,71%,29%,-6.9,-4.2,8,1,12,1,5,1,27,1,0
2015-16,37,DAL,NBA,PF,5,170,,,,80%,20%,-15.5,+15.1,2,4,5,1,6,1,18,2,3
Career,,,NBA,,145,5895,,,2%,70%,28%,-0.2,+2.0,158,104,229,47,446,15,851,98,131
