,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
2000-01,22,DAL,NBA,PF,10,399,.423,14.5,,.718,.209,.074,.264,.172,.282,,.479,.618,.417,.419,.429,.283,,.625,.923,,.031,5,,.087,.500,,0,0
2001-02,23,DAL,NBA,C,8,357,.445,12.5,,.829,.250,.128,.195,.256,.171,,.419,.512,.333,.375,.405,.571,,.544,.875,,.043,7,,.179,.800,,0,0
2002-03,24,DAL,NBA,PF,17,722,.479,14.2,,.805,.182,.096,.249,.278,.195,,.488,.684,.333,.474,.425,.443,,.537,.926,,.042,13,,.131,.500,,1,0
2003-04,25,DAL,NBA,C,5,212,.450,13.9,,.850,.200,.090,.170,.390,.150,,.447,.550,.333,.294,.487,.467,,.526,.857,,.040,4,,.133,1.000,,0,0
2004-05,26,DAL,NBA,PF,13,551,.402,12.1,,.883,.250,.133,.219,.281,.117,,.412,.375,.382,.571,.333,.333,,.430,.500,,.035,8,,.000,,,1,0
2005-06,27,DAL,NBA,PF,23,983,.468,13.8,,.840,.172,.117,.251,.301,.160,,.491,.750,.265,.457,.460,.343,,.341,.826,,.024,10,,.104,.143,,0,0
2006-07,28,DAL,NBA,PF,6,239,.383,15.1,,.798,.191,.064,.223,.319,.202,,.427,.556,.167,.381,.433,.211,,.688,1.000,,.021,2,,.053,.000,,0,0
2007-08,29,DAL,NBA,PF,5,211,.473,14.1,,.802,.176,.088,.253,.286,.198,,.507,.688,.625,.435,.423,.333,,.622,.833,,.033,3,,.056,.000,,0,0
2008-09,30,DAL,NBA,PF,10,394,.518,13.0,,.876,.212,.112,.229,.324,.124,,.550,.667,.474,.513,.527,.286,,.415,.833,,.012,2,,.000,,,0,0
2009-10,31,DAL,NBA,PF,6,233,.547,12.7,,.934,.142,.151,.358,.283,.066,,.545,.733,.500,.605,.400,.571,,.426,1.000,,.000,0,,.143,1.000,,0,0
2010-11,32,DAL,NBA,PF,21,826,.485,12.5,,.874,.179,.162,.321,.212,.126,,.488,.648,.344,.472,.488,.460,,.485,.957,,.023,9,,.200,.200,,0,0
2011-12,33,DAL,NBA,PF,4,154,.442,10.2,,.922,.247,.234,.351,.091,.078,,.465,.474,.278,.519,.714,.167,,.424,1.000,,.013,1,,.000,,,0,0
2013-14,35,DAL,NBA,PF,7,263,.429,14.7,,.905,.103,.095,.341,.365,.095,,.465,.692,.333,.512,.391,.083,,.472,.000,,.000,0,,.250,.000,,0,0
2014-15,36,DAL,NBA,PF,5,181,.452,14.6,,.798,.071,.155,.381,.190,.202,,.507,.833,.462,.500,.438,.235,,.471,1.000,,.000,0,,.176,.000,,0,0
2015-16,37,DAL,NBA,PF,5,170,.494,13.3,,.867,.157,.145,.313,.253,.133,,.514,.769,.500,.423,.476,.364,,.649,1.000,,.000,0,,.091,1.000,,0,0
Career,,,NBA,,145,5895,.462,13.4,,.846,.187,.122,.268,.268,.154,,.479,.616,.362,.475,.441,.365,,.480,.872,,.025,64,,.113,.370,,2,0
