,,,,,,,,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,Nowitzki Shooting %,,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
Season,Age,Team,Lg,Pos,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
1998-99,20,DAL,NBA,PF,47,958,,.405,.455,.206,.426,.773,.491,.381,.202,,.437,.457,.339,.466,.728,.511,.330,.168,,93,100,61,91,106,96,115,120,,-26.8,-16.3
1999-00,21,DAL,NBA,PF,82,2938,,.461,.491,.379,.513,.831,.565,.311,.274,,.449,.468,.353,.478,.750,.523,.308,.167,,103,105,107,107,111,108,101,164,,76.8,105.8
2000-01,22,DAL,NBA,PF,82,3125,,.474,.513,.387,.534,.838,.601,.431,.313,,.443,.461,.353,.473,.748,.518,.308,.170,,107,111,110,113,112,116,140,184,,153.7,247.3
2001-02,23,DAL,NBA,C,76,2891,,.477,.508,.397,.532,.853,.599,.410,.278,,.445,.465,.354,.477,.752,.520,.293,.181,,107,109,112,112,113,115,140,153,,138.5,233.7
2002-03,24,DAL,NBA,PF,80,3117,,.463,.493,.380,.513,.881,.581,.368,.262,,.442,.463,.349,.474,.758,.519,.302,.182,,105,107,109,108,116,112,122,144,,116.8,213.9
2003-04,25,DAL,NBA,C,77,2915,,.462,.496,.341,.500,.877,.561,.323,.221,,.439,.460,.347,.471,.752,.516,.303,.187,,105,108,98,106,117,109,106,118,,74.7,135.4
2004-05,26,DAL,NBA,PF,78,3020,,.459,.470,.399,.490,.869,.578,.490,.158,,.448,.470,.356,.482,.756,.529,.324,.196,,103,100,112,102,115,109,151,80,,23.0,172.2
2005-06,27,DAL,NBA,PF,81,3089,,.480,.496,.406,.515,.901,.589,.382,.173,,.454,.478,.358,.490,.745,.536,.333,.202,,106,104,113,105,121,110,115,86,,79.4,193.8
2006-07,28,DAL,NBA,PF,78,2820,,.502,.515,.416,.529,.904,.605,.411,.129,,.458,.485,.358,.496,.752,.541,.327,.212,,110,106,116,107,120,112,126,61,,86.8,201.2
2007-08,29,DAL,NBA,PF,77,2769,,.479,.504,.359,.510,.879,.585,.414,.167,,.457,.484,.362,.497,.755,.540,.306,.222,,105,104,99,102,116,108,135,75,,31.8,138.6
2008-09,30,DAL,NBA,PF,81,3050,,.479,.493,.359,.498,.890,.564,.337,.105,,.459,.485,.367,.500,.771,.544,.306,.224,,104,102,98,100,115,104,110,47,,-6.3,73.5
2009-10,31,DAL,NBA,PF,81,3039,,.481,.486,.421,.498,.915,.578,.392,.081,,.461,.492,.355,.501,.759,.543,.300,.222,,104,99,119,100,121,106,130,36,,-7.2,122.5
2010-11,32,DAL,NBA,PF,73,2504,,.517,.538,.393,.545,.892,.612,.376,.142,,.459,.487,.358,.498,.763,.541,.300,.222,,113,110,110,109,117,113,125,64,,110.9,193.3
2011-12,33,DAL,NBA,PF,62,2079,,.457,.480,.368,.495,.896,.564,.343,.205,,.448,.477,.349,.487,.752,.527,.276,.226,,102,101,105,102,119,107,124,91,,16.3,87.3
2012-13,34,DAL,NBA,PF,53,1661,,.471,.487,.414,.516,.860,.564,.265,.216,,.453,.483,.359,.496,.753,.535,.271,.243,,104,101,115,104,114,105,98,89,,28.2,47.8
2013-14,35,DAL,NBA,PF,80,2628,,.497,.532,.398,.549,.899,.603,.295,.258,,.454,.488,.360,.501,.756,.541,.284,.260,,109,109,111,110,119,112,104,100,,121.3,179.0
2014-15,36,DAL,NBA,PF,77,2282,,.459,.486,.380,.508,.882,.560,.272,.258,,.449,.485,.350,.496,.750,.534,.273,.268,,102,100,108,102,118,105,100,96,,24.8,62.6
2015-16,37,DAL,NBA,PF,75,2364,,.448,.483,.368,.504,.893,.555,.252,.308,,.452,.491,.354,.502,.757,.541,.276,.285,,99,98,104,100,118,103,91,108,,4.5,35.0
2016-17,38,DAL,NBA,PF,54,1424,,.437,.463,.378,.495,.875,.529,.165,.308,,.457,.503,.357,.514,.772,.552,.271,.316,,95,92,106,96,113,96,61,98,,-25.6,-34.4
2017-18,39,DAL,NBA,C,77,1900,,.457,.494,.409,.547,.898,.575,.142,.445,,.460,.510,.362,.521,.767,.556,.252,.337,,99,97,113,105,117,103,57,132,,39.9,31.0
2018-19,40,DAL,NBA,PF,51,795,,.359,.415,.312,.444,.780,.469,.133,.545,,.461,.519,.355,.524,.766,.560,.259,.359,,78,80,88,85,102,84,51,152,,-60.2,-72.5
Career,,,NBA,,1522,51368,,.471,.496,.380,.512,.879,.577,.347,.220,,.452,.480,.355,.491,.755,.534,.299,.222,,104,104,107,104,116,108,115,100,,1001.2,2350.8
