Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,23,DAL,NBA,C,1,0,24:00,5,11,.455,1,4,.250,1,1,1.000,2,8,3,0,0,2,1,12
2002-03,24,DAL,NBA,PF,1,0,16:00,4,8,.500,1,4,.250,0,0,,0,1,1,0,0,2,1,9
2003-04,25,DAL,NBA,C,1,0,13:24,1,3,.333,0,1,.000,0,0,,0,0,1,2,0,2,0,2
2004-05,26,DAL,NBA,PF,1,0,21:03,4,10,.400,1,3,.333,1,2,.500,3,8,2,4,4,3,1,10
2005-06,27,DAL,NBA,PF,1,0,16:23,4,8,.500,0,3,.000,2,3,.667,3,6,0,0,0,0,2,10
2006-07,28,DAL,NBA,PF,1,1,16:05,4,9,.444,1,2,.500,0,0,,2,5,2,0,0,0,0,9
2007-08,29,DAL,NBA,PF,1,0,25:41,5,14,.357,1,4,.250,2,2,1.000,1,4,2,0,0,2,0,13
2008-09,30,DAL,NBA,PF,1,0,14:05,3,5,.600,0,0,,2,2,1.000,0,1,1,0,0,0,0,8
2009-10,31,DAL,NBA,PF,1,1,27:43,8,15,.533,0,1,.000,6,6,1.000,0,4,2,1,0,2,2,22
2010-11,32,DAL,NBA,PF,1,0,14:14,3,8,.375,0,1,.000,0,0,,0,5,1,1,1,0,0,6
2011-12,33,DAL,NBA,PF,1,0,13:44,3,8,.375,1,5,.200,0,0,,2,4,1,0,0,0,1,7
2013-14,35,DAL,NBA,PF,1,0,8:26,0,2,.000,0,1,.000,0,0,,0,1,0,0,0,0,0,0
2014-15,36,DAL,NBA,PF,1,0,12:00,2,5,.400,1,2,.500,0,0,,2,5,0,2,0,0,0,5
2018-19,40,DAL,NBA,PF,1,0,3:59,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,1,0,9
Career,,,NBA,,14,2,227,49,109,.450,10,34,.294,14,16,.875,15,52,16,10,5,14,8,122
