 
,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1998-99,20,DAL,NBA,43:55,10,16,2,5,8,13,7,10,4,9,13,4,3,3,5,6,29,23.1
1999-00,21,DAL,NBA,48:00,12,24,5,10,10,18,10,12,4,15,17,8,4,4,6,6,32,30.8
2000-01,22,DAL,NBA,51:01,13,26,5,11,11,20,15,17,7,14,17,6,5,5,6,6,38,31.2
2001-02,23,DAL,NBA,52:23,13,27,6,15,11,22,16,18,6,21,23,8,4,5,8,6,40,36.2
2002-03,24,DAL,NBA,52:36,15,33,6,10,14,28,14,16,5,19,22,8,6,4,6,6,40,36.1
2003-04,25,DAL,NBA,48:30,16,28,8,11,13,21,11,14,5,16,18,6,9,5,6,6,43,34.8
2004-05,26,DAL,NBA,49:36,15,32,5,8,13,27,21,22,6,15,18,7,4,6,7,6,53,48.0
2005-06,27,DAL,NBA,48:41,16,29,5,10,13,25,16,17,6,15,16,7,4,7,6,6,51,44.1
2006-07,28,DAL,NBA,56:47,15,30,4,7,13,26,15,18,6,12,16,8,3,4,7,5,43,42.6
2007-08,29,DAL,NBA,44:31,15,31,4,10,13,29,17,21,6,19,20,12,3,5,6,5,37,30.4
2008-09,30,DAL,NBA,52:07,17,34,4,7,16,32,16,17,6,15,15,7,4,3,5,6,46,35.6
2009-10,31,DAL,NBA,46:31,15,34,4,6,14,33,17,17,3,16,16,10,3,5,6,6,41,41.3
2010-11,32,DAL,NBA,41:58,15,31,4,7,15,31,14,16,6,14,15,7,3,5,7,5,42,35.0
2011-12,33,DAL,NBA,52:57,14,28,5,8,11,21,12,15,4,14,16,7,4,3,6,5,40,29.7
2012-13,34,DAL,NBA,40:42,14,21,5,6,12,18,9,11,4,17,20,6,4,3,4,5,35,29.0
2013-14,35,DAL,NBA,45:55,13,27,6,9,12,20,15,16,4,13,17,7,4,4,6,6,40,34.9
2014-15,36,DAL,NBA,42:02,11,24,5,8,11,20,12,15,5,12,14,10,3,3,4,6,30,26.4
2015-16,37,DAL,NBA,42:55,16,26,5,10,13,21,12,13,3,12,14,6,4,4,5,5,40,31.4
2016-17,38,DAL,NBA,38:24,10,20,5,10,9,16,7,7,2,13,13,4,3,4,4,5,26,21.4
2017-18,39,DAL,NBA,32:29,8,17,6,15,7,12,7,7,2,12,12,6,5,3,3,5,23,21.4
2018-19,40,DAL,NBA,32:42,11,31,5,14,6,17,4,7,1,12,13,3,2,2,2,4,30,17.2
Career,,,,56:47,17,34,8,15,16,33,21,22,7,21,23,12,9,7,8,6,53,48.0
