Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,20,DAL,NBA,PF,47,24,958,5.1,12.6,.405,0.5,2.6,.206,4.6,10.1,.455,3.7,4.8,.773,1.5,4.5,6.1,1.8,1.1,1.0,2.7,3.9,14.5
1999-00,21,DAL,NBA,PF,82,81,2938,6.3,13.7,.461,1.4,3.7,.379,4.9,9.9,.491,3.5,4.3,.830,1.2,5.3,6.5,2.5,0.8,0.8,1.7,3.1,17.6
2000-01,22,DAL,NBA,PF,82,82,3125,6.8,14.4,.474,1.7,4.5,.387,5.1,9.9,.513,5.2,6.2,.838,1.4,7.3,8.7,2.0,0.9,1.2,1.8,2.8,20.6
2001-02,23,DAL,NBA,C,76,76,2891,7.5,15.7,.477,1.7,4.4,.397,5.7,11.3,.508,5.5,6.4,.853,1.5,7.9,9.4,2.3,1.0,1.0,1.8,2.8,22.2
2002-03,24,DAL,NBA,PF,80,80,3117,8.0,17.2,.463,1.7,4.5,.379,6.3,12.7,.493,5.6,6.3,.881,0.9,8.2,9.1,2.8,1.3,0.9,1.8,2.4,23.2
2003-04,25,DAL,NBA,C,77,77,2915,7.5,16.2,.462,1.2,3.6,.341,6.2,12.6,.496,4.6,5.2,.877,1.1,7.2,8.3,2.6,1.1,1.3,1.7,2.7,20.7
2004-05,26,DAL,NBA,PF,78,78,3020,7.9,17.2,.459,1.1,2.7,.399,6.8,14.5,.470,7.3,8.4,.869,1.1,7.9,9.0,2.9,1.2,1.4,2.1,2.6,24.2
2005-06,27,DAL,NBA,PF,81,81,3089,8.8,18.2,.480,1.3,3.2,.406,7.5,15.1,.496,6.3,7.0,.901,1.3,7.1,8.5,2.6,0.7,1.0,1.8,1.9,25.1
2006-07,28,DAL,NBA,PF,78,78,2820,8.6,17.1,.502,0.9,2.2,.416,7.7,14.9,.515,6.4,7.0,.904,1.6,7.3,8.8,3.4,0.7,0.8,2.1,2.2,24.5
2007-08,29,DAL,NBA,PF,77,77,2769,8.2,17.1,.479,1.0,2.9,.359,7.2,14.2,.504,6.2,7.1,.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6
2008-09,30,DAL,NBA,PF,81,81,3050,9.1,19.1,.479,0.7,2.0,.359,8.4,17.1,.493,5.7,6.4,.890,1.0,7.0,8.0,2.3,0.7,0.7,1.9,2.1,24.7
2009-10,31,DAL,NBA,PF,81,80,3039,8.5,17.7,.481,0.6,1.4,.421,7.9,16.3,.487,6.3,6.9,.915,0.9,6.4,7.3,2.6,0.8,0.9,1.8,2.5,24.0
2010-11,32,DAL,NBA,PF,73,73,2504,8.8,17.0,.517,0.9,2.4,.393,7.8,14.5,.538,5.7,6.4,.892,0.7,6.7,7.4,2.7,0.5,0.7,2.0,2.5,24.2
2011-12,33,DAL,NBA,PF,62,62,2079,8.2,17.9,.457,1.4,3.7,.368,6.8,14.2,.481,5.5,6.1,.896,0.8,6.4,7.2,2.4,0.7,0.5,2.0,2.2,23.2
2012-13,34,DAL,NBA,PF,53,47,1661,7.4,15.8,.471,1.4,3.4,.414,6.0,12.4,.487,3.6,4.2,.860,0.8,7.1,7.9,2.9,0.8,0.8,1.5,2.0,19.9
2013-14,35,DAL,NBA,PF,80,80,2628,8.7,17.4,.497,1.8,4.5,.398,6.9,12.9,.532,4.6,5.2,.899,0.5,6.3,6.8,3.0,1.0,0.6,1.6,2.3,23.8
2014-15,36,DAL,NBA,PF,77,77,2282,7.7,16.8,.459,1.6,4.3,.380,6.0,12.4,.486,4.0,4.6,.882,0.7,6.5,7.2,2.3,0.6,0.5,1.3,2.5,21.0
2015-16,37,DAL,NBA,PF,75,75,2364,7.6,16.9,.448,1.9,5.2,.368,5.7,11.7,.483,3.8,4.3,.893,0.8,6.7,7.4,2.0,0.8,0.8,1.3,2.5,20.9
2016-17,38,DAL,NBA,PF,54,54,1424,7.5,17.1,.437,2.0,5.3,.378,5.5,11.9,.463,2.5,2.8,.875,0.6,8.3,8.9,2.1,0.8,1.0,1.3,2.9,19.4
2017-18,39,DAL,NBA,C,77,77,1900,6.6,14.4,.456,2.6,6.4,.409,3.9,8.0,.494,1.8,2.0,.898,0.4,7.9,8.3,2.3,0.8,0.9,1.0,2.8,17.6
2018-19,40,DAL,NBA,PF,51,20,795,6.1,17.0,.359,2.9,9.3,.312,3.2,7.7,.415,1.8,2.3,.780,0.2,6.9,7.2,1.6,0.4,0.8,0.8,3.4,16.9
Career,,,NBA,,1522,1460,51368,7.8,16.6,.471,1.4,3.7,.380,6.4,13.0,.496,5.1,5.8,.879,1.0,7.0,8.1,2.6,0.8,0.9,1.7,2.5,22.1
