Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,20,MIN,NBA,SF,3,125,19.3,.497,.020,.059,11.4,15.1,13.0,13.7,1.7,2.3,7.1,20.4,,0.2,-0.1,0.1,.047,,2.5,-1.4,1.2,0.1
1997-98,21,MIN,NBA,PF,5,194,15.5,.500,.000,.120,9.7,20.6,14.8,20.4,1.1,5.4,21.8,24.3,,-0.1,0.1,0.0,-0.002,,0.0,0.9,0.9,0.1
1998-99,22,MIN,NBA,PF,4,170,24.1,.488,.025,.291,10.2,22.6,16.1,19.1,2.3,3.6,12.7,28.1,,0.2,0.3,0.5,.135,,5.9,2.2,8.1,0.4
1999-00,23,MIN,NBA,PF,4,171,20.5,.441,.038,.205,9.9,25.1,17.2,38.0,1.7,1.5,11.5,28.1,,0.2,0.2,0.4,.102,,5.2,2.3,7.4,0.4
2000-01,24,MIN,NBA,PF,4,165,24.9,.569,.052,.621,6.6,26.6,16.3,21.6,1.3,2.9,7.5,22.8,,0.6,0.3,0.9,.255,,7.2,2.9,10.1,0.5
2001-02,25,MIN,NBA,PF,3,130,25.5,.514,.036,.571,12.5,34.1,22.8,20.4,1.9,3.0,14.6,27.1,,0.3,0.0,0.3,.121,,4.6,1.7,6.3,0.3
2002-03,26,MIN,NBA,PF,6,265,25.0,.539,.065,.203,5.2,32.5,20.1,23.4,1.9,2.8,10.7,28.7,,0.4,0.4,0.8,.141,,4.8,2.1,7.0,0.6
2003-04,27,MIN,NBA,PF,18,783,25.0,.513,.043,.336,6.0,31.3,19.3,24.1,1.6,3.9,14.9,30.3,,1.4,1.3,2.7,.163,,3.6,2.9,6.5,1.7
2007-08,31,BOS,NBA,PF,26,987,23.0,.542,.018,.265,9.3,25.3,17.5,18.4,2.0,2.5,10.1,26.6,,2.1,2.0,4.1,.199,,4.3,2.3,6.6,2.1
2009-10,33,BOS,NBA,PF,23,766,17.6,.530,.007,.186,5.3,21.4,13.6,14.7,1.8,2.3,8.7,22.2,,0.7,1.6,2.4,.148,,1.6,2.2,3.8,1.1
2010-11,34,BOS,NBA,PF,9,328,17.3,.479,.008,.228,8.3,27.3,18.3,12.4,2.8,2.3,12.0,23.2,,0.0,0.7,0.8,.113,,-0.1,2.5,2.4,0.4
2011-12,35,BOS,NBA,C,20,737,20.5,.541,.013,.250,5.2,27.3,16.6,8.5,1.7,3.2,11.0,26.5,,0.7,1.6,2.3,.149,,2.1,1.9,3.9,1.1
2012-13,36,BOS,NBA,C,6,212,17.3,.563,.033,.283,5.6,37.9,23.2,22.4,1.3,2.5,22.0,20.8,,0.0,0.6,0.6,.145,,-0.7,4.1,3.4,0.3
2013-14,37,BRK,NBA,C,12,250,17.2,.568,.032,.365,9.1,30.3,19.2,10.8,2.0,1.9,15.1,16.8,,0.3,0.3,0.6,.123,,0.5,1.8,2.3,0.3
Career,,,NBA,,143,5283,21.1,.525,.025,.268,7.3,26.9,17.4,17.8,1.8,2.9,12.1,25.4,,7.1,9.3,16.4,.149,,2.8,2.2,5.1,9.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,3030,20.0,.533,.014,.239,6.9,25.9,16.8,14.7,1.9,2.6,10.9,24.7,,3.6,6.5,10.2,.161,,2.2,2.3,4.6,5.0
8 seasons,,MIN,NBA,,47,2003,23.3,.511,.040,.300,7.8,28.0,18.1,23.3,1.7,3.4,13.6,27.7,,3.1,2.5,5.6,.134,,4.0,2.2,6.2,4.1
1 season,,BRK,NBA,,12,250,17.2,.568,.032,.365,9.1,30.3,19.2,10.8,2.0,1.9,15.1,16.8,,0.3,0.3,0.6,.123,,0.5,1.8,2.3,0.3
