Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1995-96,19,MIN,NBA,SF,80,2293,15.8,.522,.038,.203,9.1,17.0,13.1,10.6,1.9,4.4,12.1,17.6,,1.8,2.6,4.4,.092,,0.1,0.9,1.0,1.7
1996-97,20,MIN,NBA,SF,77,2995,18.2,.537,.019,.247,7.6,16.8,12.2,14.1,1.9,4.1,12.5,21.3,,3.4,3.9,7.3,.116,,1.1,1.1,2.2,3.2
1997-98,21,MIN,NBA,PF,82,3222,20.4,.527,.012,.257,7.9,19.7,13.9,18.2,2.2,3.3,11.8,22.5,,5.3,4.2,9.6,.143,,2.6,1.5,4.2,5.0
1998-99,22,MIN,NBA,PF,47,1780,22.4,.493,.016,.229,9.7,22.0,15.4,21.3,2.3,3.5,12.0,27.8,,2.4,3.0,5.4,.146,,3.6,1.7,5.3,3.3
1999-00,23,MIN,NBA,PF,81,3243,23.6,.545,.053,.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,,6.1,5.6,11.6,.172,,4.6,1.7,6.3,6.8
2000-01,24,MIN,NBA,PF,81,3202,23.9,.531,.045,.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,,7.0,4.8,11.8,.176,,4.5,1.4,6.0,6.4
2001-02,25,MIN,NBA,PF,81,3175,23.8,.536,.083,.320,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,,7.9,4.9,12.8,.194,,5.1,1.8,6.8,7.1
2002-03,26,MIN,NBA,PF,82,3321,26.4,.553,.048,.339,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,,9.8,5.8,15.6,.225,,6.0,2.4,8.4,8.7
2003-04,27,MIN,NBA,PF,82,3231,29.4,.547,.027,.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,,10.4,8.0,18.3,.272,,6.8,3.3,10.2,10.0
2004-05,28,MIN,NBA,PF,82,3121,28.2,.567,.018,.404,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,,10.1,6.0,16.1,.248,,6.5,3.0,9.5,9.1
2005-06,29,MIN,NBA,PF,76,2957,26.8,.589,.025,.411,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,,9.0,5.9,14.9,.242,,5.6,2.2,7.8,7.4
2006-07,30,MIN,NBA,PF,76,2995,24.1,.546,.042,.371,7.5,30.8,19.5,19.5,1.6,3.2,11.6,27.4,,5.7,4.9,10.7,.171,,3.8,1.7,5.4,5.5
2007-08,31,BOS,NBA,PF,71,2328,25.3,.588,.011,.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,,6.6,6.2,12.9,.265,,4.7,3.5,8.2,6.0
2008-09,32,BOS,NBA,PF,57,1772,21.2,.563,.011,.178,5.6,26.7,16.6,14.7,1.9,3.1,10.1,23.4,,3.0,4.1,7.1,.193,,2.8,3.0,5.7,3.5
2009-10,33,BOS,NBA,PF,69,2060,19.4,.569,.006,.286,4.8,24.8,15.1,15.7,1.7,2.2,10.4,22.1,,3.6,3.8,7.3,.171,,1.5,1.9,3.5,2.9
2010-11,34,BOS,NBA,PF,71,2220,20.6,.575,.006,.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1,22.3,,3.4,5.6,9.0,.194,,1.8,2.9,4.7,3.8
2011-12,35,BOS,NBA,C,60,1864,20.4,.550,.012,.243,4.4,25.8,15.6,17.9,1.6,2.5,11.1,24.9,,2.6,4.3,6.9,.178,,1.8,2.5,4.3,2.9
