,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1995-96,19,MIN,NBA,43:00,14,21,1,2,14,21,5,8,7,13,19,7,5,7,5,6,33,27.8
1996-97,20,MIN,NBA,49:15,15,25,2,3,13,22,9,11,7,12,17,8,4,8,7,6,33,30.9
1997-98,21,MIN,NBA,50:27,15,28,1,2,15,28,8,11,8,15,20,10,5,6,6,6,32,32.0
1998-99,22,MIN,NBA,44:52,14,25,1,2,14,25,11,18,8,13,19,11,5,6,7,6,30,25.6
1999-00,23,MIN,NBA,51:48,16,33,3,5,16,31,13,16,9,17,23,10,7,6,9,6,40,34.2
2000-01,24,MIN,NBA,48:31,17,27,2,3,15,26,12,17,6,17,20,10,4,7,7,5,40,36.9
2001-02,25,MIN,NBA,50:07,16,30,3,5,16,30,13,15,8,17,24,9,4,5,7,5,37,35.3
2002-03,26,MIN,NBA,49:51,17,29,2,3,17,28,12,16,9,20,24,12,5,5,7,5,37,41.0
2003-04,27,MIN,NBA,50:09,16,29,3,3,16,29,12,12,9,23,25,10,4,7,6,6,35,35.3
2004-05,28,MIN,NBA,46:19,19,28,1,2,19,27,15,18,11,23,25,11,5,5,7,5,47,41.5
2005-06,29,MIN,NBA,46:43,14,26,1,2,14,24,15,17,9,18,22,9,4,7,7,6,37,33.0
2006-07,30,MIN,NBA,51:09,18,29,2,4,18,28,12,13,7,20,22,10,7,5,7,6,44,38.6
2007-08,31,BOS,NBA,43:50,13,22,0,1,13,22,9,11,6,18,20,8,4,7,6,6,31,30.0
2008-09,32,BOS,NBA,42:29,12,23,1,1,11,23,6,6,5,19,20,8,5,5,6,6,26,31.1
2009-10,33,BOS,NBA,35:18,13,20,1,1,13,20,11,12,4,13,13,9,5,4,5,6,26,25.9
2010-11,34,BOS,NBA,39:05,12,20,1,1,12,20,10,10,5,17,17,9,4,3,7,6,28,26.8
2011-12,35,BOS,NBA,41:03,12,23,1,2,12,23,8,9,5,13,14,6,5,4,5,6,25,22.5
2012-13,36,BOS,NBA,47:03,11,24,1,3,11,24,8,10,4,15,18,6,3,5,6,6,27,23.9
2013-14,37,BRK,NBA,36:11,8,19,0,1,8,19,6,6,4,11,14,6,4,5,5,6,16,14.3
2014-15,38,TOT,NBA,35:02,7,15,1,1,7,15,4,4,6,13,14,7,4,3,4,4,18,13.4
2014-15,38,BRK,NBA,35:02,7,15,1,1,7,15,4,4,6,13,14,7,4,3,4,4,18,13.4
2014-15,38,MIN,NBA,21:56,6,10,0,1,6,10,1,2,1,8,8,2,3,2,1,4,12,11.1
2015-16,39,MIN,NBA,23:54,5,7,0,1,5,7,2,2,2,10,10,5,3,3,2,5,10,13.7
Career,,,,51:48,19,33,3,5,19,31,15,18,11,23,25,12,7,8,9,6,47,41.5
14 Seasons,,MIN,NBA,51:48,19,33,3,5,19,31,15,18,11,23,25,12,7,8,9,6,47,41.5
6 Seasons,,BOS,NBA,47:03,13,24,1,3,13,24,11,12,6,19,20,9,5,7,7,6,31,31.1
2 Seasons,,BRK,NBA,36:11,8,19,1,1,8,19,6,6,6,13,14,7,4,5,5,6,18,14.3
