Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1995-96,19,MIN,NBA,SF,80,43,2293,8.1,16.5,.491,0.2,0.6,.286,7.9,15.8,.499,2.4,3.3,.705,3.9,7.3,11.2,3.2,1.9,2.9,2.5,4.2,18.7,,107,107
1996-97,20,MIN,NBA,SF,77,77,2995,9.7,19.4,.499,0.1,0.4,.286,9.6,19.1,.503,3.6,4.8,.754,3.4,7.6,10.9,4.2,1.9,2.9,3.1,3.5,23.1,,107,105
1997-98,21,MIN,NBA,PF,82,82,3222,10.2,20.8,.491,0.0,0.3,.188,10.2,20.5,.495,3.9,5.3,.738,3.6,9.1,12.6,5.6,2.2,2.4,3.1,3.6,24.4,,109,103
1998-99,22,MIN,NBA,PF,47,47,1780,12.3,26.7,.460,0.1,0.4,.286,12.1,26.2,.463,4.3,6.1,.704,4.9,9.6,14.5,6.0,2.3,2.5,4.0,4.5,28.9,,102,97
1999-00,23,MIN,NBA,PF,81,81,3243,12.2,24.6,.497,0.5,1.3,.370,11.8,23.3,.504,5.0,6.5,.765,3.6,11.8,15.4,6.5,1.9,2.0,4.3,3.3,29.9,,107,99
2000-01,24,MIN,NBA,PF,81,81,3202,11.5,24.1,.477,0.3,1.1,.288,11.2,23.0,.486,5.8,7.6,.764,3.6,11.5,15.0,6.5,1.8,2.4,3.8,3.3,29.1,,108,99
2001-02,25,MIN,NBA,PF,81,81,3175,11.0,23.4,.470,0.6,1.9,.319,10.4,21.5,.484,6.0,7.5,.801,4.1,12.3,16.4,7.0,1.6,2.1,3.8,3.1,28.6,,111,101
2002-03,26,MIN,NBA,PF,82,82,3321,11.7,23.3,.502,0.3,1.1,.282,11.4,22.2,.513,5.9,7.9,.751,3.8,13.5,17.3,7.8,1.8,2.0,3.6,3.1,29.6,,113,98
2003-04,27,MIN,NBA,PF,82,82,3231,13.4,26.9,.499,0.2,0.7,.256,13.2,26.2,.506,6.1,7.8,.791,4.1,14.9,19.0,6.8,2.0,3.0,3.5,3.4,33.2,,112,92
2004-05,28,MIN,NBA,PF,82,82,3121,11.8,23.5,.502,0.1,0.4,.240,11.7,23.0,.507,7.7,9.5,.811,4.3,14.9,19.1,8.0,2.1,1.9,3.8,3.6,31.4,,117,99
2005-06,29,MIN,NBA,PF,76,76,2957,11.4,21.8,.526,0.1,0.5,.267,11.3,21.2,.532,7.2,8.9,.810,3.9,13.8,17.7,5.6,1.9,2.0,3.3,3.8,30.3,,117,98
2006-07,30,MIN,NBA,PF,76,76,2995,11.2,23.6,.476,0.2,1.0,.214,11.0,22.6,.487,7.3,8.8,.835,3.2,14.0,17.2,5.5,1.6,2.2,3.6,3.2,30.0,,110,101
2007-08,31,BOS,NBA,PF,71,71,2328,12.1,22.5,.539,0.0,0.2,.000,12.1,22.2,.545,6.1,7.6,.801,3.1,11.8,14.9,5.5,2.3,2.0,3.1,3.7,30.3,,118,94
2008-09,32,BOS,NBA,PF,57,57,1772,11.8,22.2,.531,0.1,0.2,.250,11.7,21.9,.534,3.3,4.0,.841,2.3,12.2,14.5,4.3,1.9,2.0,2.7,3.8,26.9,,112,98
2009-10,33,BOS,NBA,PF,69,69,2060,10.2,19.6,.521,0.0,0.1,.200,10.2,19.5,.523,4.7,5.6,.837,2.0,10.9,12.9,4.7,1.7,1.4,2.6,4.3,25.2,,112,101
2010-11,34,BOS,NBA,PF,71,71,2220,10.4,19.7,.528,0.0,0.1,.200,10.4,19.5,.530,4.5,5.2,.862,2.0,13.1,15.1,4.1,2.3,1.4,2.8,3.5,25.3,,110,95
2011-12,35,BOS,NBA,C,60,60,1864,11.1,22.1,.503,0.1,0.3,.333,11.1,21.9,.505,4.6,5.4,.857,1.9,12.2,14.1,5.0,1.6,1.7,3.0,4.0,27.0,,106,94
2012-13,36,BOS,NBA,C,68,68,2022,10.9,22.0,.496,0.1,0.4,.125,10.9,21.6,.504,4.1,5.2,.786,1.9,11.8,13.7,4.1,2.0,1.6,2.8,4.0,26.0,,104,99
2013-14,37,BRK,NBA,C,54,54,1109,7.4,16.8,.441,0.0,0.1,.000,7.4,16.7,.445,1.8,2.2,.809,2.8,14.1,16.9,3.9,2.0,1.9,3.3,5.8,16.7,,93,101
2014-15,38,TOT,NBA,PF,47,47,952,7.8,16.6,.467,0.1,0.4,.143,7.7,16.2,.475,2.0,2.4,.800,2.6,14.3,16.9,4.2,2.5,0.9,2.5,5.9,17.5,,101,101
2014-15,38,BRK,NBA,PF,42,42,854,7.6,16.7,.455,0.1,0.4,.167,7.5,16.3,.461,2.1,2.5,.829,2.8,14.5,17.3,4.2,2.5,0.8,2.7,5.8,17.3,,99,100
2014-15,38,MIN,NBA,PF,5,5,98,9.3,16.1,.581,0.0,0.5,.000,9.3,15.6,.600,1.0,2.1,.500,1.0,12.5,13.5,4.2,2.6,2.1,0.5,6.7,19.7,,123,105
2015-16,39,MIN,NBA,PF,38,38,556,4.9,10.4,.470,0.0,0.1,.000,4.9,10.3,.474,1.3,1.9,.667,1.4,12.2,13.6,5.6,2.5,0.9,1.5,6.3,11.1,,107,105
Career,,,NBA,,1462,1425,50418,11.0,22.1,.497,0.2,0.7,.275,10.8,21.5,.504,5.1,6.5,.789,3.4,12.0,15.3,5.7,1.9,2.1,3.3,3.7,27.3,,110,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 seasons,,MIN,NBA,,970,933,36189,11.1,22.7,.491,0.2,0.8,.288,10.9,21.8,.499,5.5,7.0,.779,3.8,11.8,15.6,6.1,1.9,2.3,3.5,3.6,28.0,,110,100
6 seasons,,BOS,NBA,,396,396,12266,11.1,21.3,.520,0.0,0.2,.167,11.0,21.1,.524,4.6,5.6,.827,2.2,12.0,14.2,4.6,2.0,1.7,2.8,3.9,26.8,,111,97
