Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,19,MIN,NBA,SF,80,43,2293,5.7,11.5,.491,0.1,0.4,.286,5.5,11.1,.499,1.6,2.3,.705,2.7,5.1,7.9,2.3,1.4,2.1,1.7,3.0,13.1
1996-97,20,MIN,NBA,SF,77,77,2995,6.6,13.2,.499,0.1,0.3,.286,6.5,13.0,.503,2.5,3.3,.754,2.3,5.1,7.4,2.8,1.3,2.0,2.1,2.4,15.7
1997-98,21,MIN,NBA,PF,82,82,3222,7.1,14.4,.491,0.0,0.2,.188,7.1,14.3,.495,2.7,3.7,.738,2.5,6.3,8.8,3.9,1.6,1.7,2.1,2.5,17.0
1998-99,22,MIN,NBA,PF,47,47,1780,8.4,18.2,.460,0.1,0.3,.286,8.3,17.9,.463,2.9,4.2,.704,3.4,6.5,9.9,4.1,1.6,1.7,2.7,3.1,19.8
1999-00,23,MIN,NBA,PF,81,81,3243,8.4,16.9,.497,0.3,0.9,.370,8.1,16.0,.504,3.4,4.5,.765,2.5,8.1,10.6,4.5,1.3,1.4,3.0,2.3,20.6
2000-01,24,MIN,NBA,PF,81,81,3202,7.9,16.6,.477,0.2,0.7,.288,7.7,15.8,.486,4.0,5.3,.764,2.5,7.9,10.4,4.5,1.2,1.6,2.6,2.3,20.1
2001-02,25,MIN,NBA,PF,81,81,3175,7.5,15.9,.470,0.4,1.3,.319,7.1,14.6,.484,4.1,5.1,.801,2.8,8.4,11.1,4.8,1.1,1.4,2.6,2.1,19.4
2002-03,26,MIN,NBA,PF,82,82,3321,8.1,16.1,.502,0.2,0.8,.282,7.8,15.3,.513,4.1,5.4,.751,2.6,9.3,11.9,5.4,1.2,1.4,2.5,2.2,20.4
2003-04,27,MIN,NBA,PF,82,82,3231,9.0,17.9,.499,0.1,0.5,.256,8.8,17.5,.506,4.1,5.2,.791,2.7,10.0,12.7,4.6,1.3,2.0,2.4,2.3,22.1
2004-05,28,MIN,NBA,PF,82,82,3121,7.9,15.7,.502,0.1,0.3,.240,7.8,15.4,.507,5.1,6.3,.811,2.8,9.9,12.8,5.4,1.4,1.3,2.6,2.4,21.0
2005-06,29,MIN,NBA,PF,76,76,2957,7.6,14.5,.526,0.1,0.4,.267,7.5,14.1,.532,4.8,6.0,.810,2.6,9.2,11.8,3.7,1.3,1.3,2.2,2.5,20.2
2006-07,30,MIN,NBA,PF,76,76,2995,7.7,16.1,.476,0.1,0.7,.214,7.5,15.4,.487,5.0,6.0,.835,2.2,9.5,11.7,3.8,1.1,1.5,2.5,2.2,20.5
2007-08,31,BOS,NBA,PF,71,71,2328,8.3,15.3,.539,0.0,0.2,.000,8.3,15.1,.545,4.2,5.2,.801,2.1,8.0,10.1,3.8,1.5,1.4,2.1,2.5,20.7
2008-09,32,BOS,NBA,PF,57,57,1772,8.0,15.0,.531,0.0,0.2,.250,7.9,14.9,.534,2.3,2.7,.841,1.6,8.3,9.9,2.9,1.3,1.4,1.8,2.6,18.3
2009-10,33,BOS,NBA,PF,69,69,2060,7.0,13.5,.521,0.0,0.1,.200,7.0,13.4,.523,3.2,3.9,.837,1.4,7.5,8.8,3.2,1.2,1.0,1.8,3.0,17.3
2010-11,34,BOS,NBA,PF,71,71,2220,7.0,13.3,.528,0.0,0.1,.200,7.0,13.2,.530,3.0,3.5,.862,1.3,8.9,10.2,2.8,1.5,0.9,1.9,2.4,17.1
2011-12,35,BOS,NBA,C,60,60,1864,7.6,15.0,.503,0.1,0.2,.333,7.5,14.8,.505,3.1,3.7,.857,1.3,8.3,9.5,3.4,1.1,1.2,2.1,2.7,18.3
2012-13,36,BOS,NBA,C,68,68,2022,7.5,15.1,.496,0.0,0.3,.125,7.5,14.8,.504,2.8,3.6,.786,1.3,8.1,9.4,2.8,1.4,1.1,2.0,2.7,17.9
2013-14,37,BRK,NBA,C,54,54,1109,5.1,11.6,.441,0.0,0.1,.000,5.1,11.5,.445,1.2,1.5,.809,1.9,9.7,11.6,2.7,1.4,1.3,2.2,4.0,11.4
2014-15,38,TOT,NBA,PF,47,47,952,5.4,11.6,.467,0.0,0.3,.143,5.4,11.3,.475,1.4,1.7,.800,1.8,9.9,11.8,2.9,1.7,0.6,1.7,4.1,12.2
2014-15,38,BRK,NBA,PF,42,42,854,5.3,11.6,.455,0.0,0.3,.167,5.2,11.3,.461,1.4,1.7,.829,1.9,10.1,12.0,2.9,1.7,0.5,1.9,4.0,12.0
2014-15,38,MIN,NBA,PF,5,5,98,6.6,11.4,.581,0.0,0.4,.000,6.6,11.0,.600,0.7,1.5,.500,0.7,8.8,9.6,2.9,1.8,1.5,0.4,4.8,14.0
2015-16,39,MIN,NBA,PF,38,38,556,3.5,7.4,.470,0.0,0.1,.000,3.5,7.4,.474,0.9,1.4,.667,1.0,8.7,9.7,4.0,1.8,0.6,1.0,4.5,7.9
Career,,,NBA,,1462,1425,50418,7.5,15.1,.497,0.1,0.5,.275,7.4,14.6,.504,3.5,4.4,.789,2.3,8.2,10.5,3.9,1.3,1.5,2.3,2.5,18.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 seasons,,MIN,NBA,,970,933,36189,7.6,15.5,.491,0.2,0.6,.288,7.4,14.9,.499,3.7,4.8,.779,2.6,8.1,10.7,4.2,1.3,1.6,2.4,2.4,19.1
6 seasons,,BOS,NBA,,396,396,12266,7.6,14.5,.520,0.0,0.2,.167,7.5,14.4,.524,3.1,3.8,.827,1.5,8.2,9.7,3.2,1.4,1.2,1.9,2.7,18.3
2 seasons,,BRK,NBA,,96,96,1963,5.2,11.6,.447,0.0,0.2,.111,5.2,11.4,.452,1.3,1.6,.818,1.9,9.8,11.8,2.8,1.5,1.0,2.1,4.0,11.7
