,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1996-97,20,MIN,NBA,SF,77,2995,,,57%,42%,1%,+2.7,+15.0,61,32,104,9,105,,520,22,42
1997-98,21,MIN,NBA,PF,82,3222,,,2%,72%,26%,+2.4,+6.8,72,46,94,26,136,,745,36,43
1998-99,22,MIN,NBA,PF,47,1780,,,32%,42%,27%,+2.1,+8.6,62,19,66,21,89,,419,12,29
1999-00,23,MIN,NBA,PF,81,3243,,,5%,87%,7%,+5.4,+11.6,102,38,70,38,144,15,855,28,41
2000-01,24,MIN,NBA,PF,81,3202,,,,48%,52%,+3.3,+8.8,84,59,82,28,189,,873,47,42
2001-02,25,MIN,NBA,PF,81,3175,,,37%,54%,9%,+5.8,+10.1,97,56,71,33,173,,904,33,57
2002-03,26,MIN,NBA,PF,82,3321,,,6%,82%,13%,+6.1,+23.6,82,66,86,30,214,,1065,58,60
2003-04,27,MIN,NBA,PF,82,3231,,,4%,94%,2%,+9.8,+20.7,77,63,90,35,200,,908,41,44
2004-05,28,MIN,NBA,PF,82,3121,,,,62%,38%,+1.7,+0.7,81,57,81,37,228,,1039,51,60
2005-06,29,MIN,NBA,PF,76,2957,,,,84%,16%,+0.6,+10.8,73,36,85,35,187,13,653,48,36
2006-07,30,MIN,NBA,PF,76,2995,,,,72%,29%,-0.5,+14.8,76,44,80,33,195,15,696,38,50
2007-08,31,BOS,NBA,PF,71,2328,,,,79%,21%,+16.4,+11.8,57,22,70,29,142,6,560,18,30
2008-09,32,BOS,NBA,PF,57,1772,,,2%,88%,10%,+14.3,+10.6,38,14,50,14,57,3,324,16,14
2009-10,33,BOS,NBA,PF,69,2060,,,,96%,4%,+7.7,+7.7,34,15,81,27,96,9,409,21,22
2010-11,34,BOS,NBA,PF,71,2220,,,,95%,5%,+13.0,+16.1,49,18,56,22,76,6,375,10,19
2011-12,35,BOS,NBA,C,60,1864,,,,13%,87%,+7.5,+11.0,51,21,55,21,71,5,397,9,24
2012-13,36,BOS,NBA,C,68,2022,,,,5%,95%,+2.5,+6.0,43,21,59,25,79,10,363,13,19
2013-14,37,BRK,NBA,C,54,1109,,,,23%,77%,-1.6,-1.2,31,11,47,18,22,4,191,3,9
2014-15,38,TOT,NBA,PF,47,952,,,,83%,17%,-0.5,+6.7,20,4,39,16,17,6,176,4,5
2014-15,38,BRK,NBA,PF,42,854,,,,82%,18%,-1.4,+2.3,19,4,33,16,15,6,157,4,5
2014-15,38,MIN,NBA,PF,5,98,,,,96%,4%,+7.0,+17.0,1,0,6,0,2,0,19,0,0
2015-16,39,MIN,NBA,PF,38,556,,,,99%,1%,+6.3,+11.2,6,1,28,8,6,4,135,1,2
Career,,,NBA,,1382,48125,,,8%,67%,25%,+5.2,+11.3,1196,643,1394,505,2426,96,11607,509,648
,,,,,,,,,,,,,,,,,,,,,,
13 seasons,,MIN,NBA,,890,33896,,,12%,69%,19%,+3.8,+12.2,874,517,943,333,1868,47,8831,415,506
6 seasons,,BOS,NBA,,396,12266,,,,64%,36%,+10.4,+10.6,272,111,371,138,521,39,2428,87,128
2 seasons,,BRK,NBA,,96,1963,,,,49%,51%,-1.5,+0.3,50,15,80,34,37,10,348,7,14
