,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1996-97,20,MIN,NBA,45:40,10,21,1,1,9,20,3,3,6,8,12,6,3,1,3,2,21,19.1
1997-98,21,MIN,NBA,43:42,9,18,0,0,9,18,2,2,6,12,18,6,2,4,10,5,20,19.2
1998-99,22,MIN,NBA,46:15,11,22,0,2,11,22,8,12,5,11,16,6,3,5,5,4,23,20.2
1999-00,23,MIN,NBA,46:28,11,22,1,2,10,21,7,10,5,13,13,11,3,2,4,4,23,19.7
2000-01,24,MIN,NBA,45:00,9,18,0,2,9,18,8,10,4,11,15,6,3,3,2,5,25,26.4
2001-02,25,MIN,NBA,45:57,9,19,1,1,9,19,13,17,7,14,21,6,2,3,6,5,31,29.4
2002-03,26,MIN,NBA,45:54,15,31,1,3,15,31,7,9,3,19,20,7,3,4,4,6,35,36.3
2003-04,27,MIN,NBA,47:29,13,30,1,3,13,30,12,15,6,20,22,10,4,6,8,6,32,32.3
2007-08,31,BOS,NBA,42:42,13,22,1,2,13,22,10,12,7,11,16,7,6,3,5,5,33,30.0
2009-10,33,BOS,NBA,41:00,11,21,0,1,11,21,6,7,3,11,12,6,5,4,3,5,25,19.6
2010-11,34,BOS,NBA,41:14,13,20,0,1,13,20,6,8,5,14,18,6,3,2,5,5,28,27.7
2011-12,35,BOS,NBA,45:18,12,20,1,1,12,20,8,10,4,13,14,5,3,5,7,5,29,30.2
2012-13,36,BOS,NBA,41:16,7,13,0,1,7,12,6,6,5,16,18,6,2,2,5,5,16,17.9
2013-14,37,BRK,NBA,26:35,5,8,0,1,5,8,4,6,5,7,12,3,3,2,3,6,13,13.8
Career,,,,47:29,15,31,1,3,15,31,13,17,7,20,22,11,6,6,10,6,35,36.3
5 Seasons,,BOS,NBA,45:18,13,22,1,2,13,22,10,12,7,16,18,7,6,5,7,5,33,30.2
8 Seasons,,MIN,NBA,47:29,15,31,1,3,15,31,13,17,7,20,22,11,4,6,10,6,35,36.3
1 Season,,BRK,NBA,26:35,5,8,0,1,5,8,4,6,5,7,12,3,3,2,3,6,13,13.8
