Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,20,MIN,NBA,SF,3,3,125,10.2,21.7,.471,0.4,0.4,1.000,9.8,21.3,.460,1.3,1.3,1.000,6.0,6.0,11.9,4.7,1.7,1.3,1.7,2.6,22.1,,113,123
1997-98,21,MIN,NBA,PF,5,5,194,10.3,21.5,.480,0.0,0.0,,10.3,21.5,.480,2.0,2.6,.778,4.9,8.9,13.8,5.7,1.1,3.4,6.3,4.9,22.7,,92,108
1998-99,22,MIN,NBA,PF,4,4,170,11.7,26.4,.443,0.0,0.7,.000,11.7,25.7,.455,5.7,7.7,.739,5.3,10.7,16.0,5.0,2.3,2.7,4.3,3.3,29.0,,100,97
1999-00,23,MIN,NBA,PF,4,4,171,10.2,26.6,.385,0.7,1.0,.667,9.5,25.5,.373,4.4,5.4,.813,4.4,10.2,14.6,11.9,1.7,1.0,3.7,4.1,25.5,,101,103
2000-01,24,MIN,NBA,PF,4,4,165,9.0,19.2,.466,0.0,1.0,.000,9.0,18.2,.491,10.0,11.9,.833,3.3,12.6,15.9,5.6,1.3,2.0,2.0,4.3,27.9,,120,98
2001-02,25,MIN,NBA,PF,3,3,130,9.2,21.4,.429,0.4,0.8,.500,8.8,20.6,.426,8.8,12.2,.719,6.1,15.3,21.4,5.7,1.9,1.9,4.6,4.2,27.5,,108,109
2002-03,26,MIN,NBA,PF,6,6,265,13.6,26.4,.514,0.6,1.7,.333,13.0,24.6,.527,3.2,5.4,.607,2.1,15.9,18.0,5.9,1.9,1.9,3.4,4.4,31.0,,106,102
2003-04,27,MIN,NBA,PF,18,18,783,11.5,25.4,.452,0.3,1.1,.313,11.1,24.3,.458,6.6,8.5,.776,2.7,15.3,18.0,6.3,1.6,2.8,5.1,3.9,29.9,,100,95
2007-08,31,BOS,NBA,PF,26,26,987,12.3,24.8,.495,0.1,0.5,.250,12.2,24.3,.500,5.3,6.6,.810,4.1,11.4,15.5,4.9,2.0,1.6,3.1,4.2,30.0,,112,99
2009-10,33,BOS,NBA,PF,23,23,766,10.5,21.1,.495,0.0,0.1,.000,10.5,21.0,.498,3.3,3.9,.839,2.2,9.7,11.9,4.1,1.8,1.4,2.2,5.2,24.2,,107,99
2010-11,34,BOS,NBA,PF,9,9,328,9.2,20.9,.441,0.0,0.2,.000,9.2,20.7,.444,3.6,4.8,.759,3.4,12.6,16.1,3.8,2.8,1.5,3.1,4.4,22.0,,99,96
2011-12,35,BOS,NBA,C,20,20,737,11.8,23.7,.497,0.1,0.3,.250,11.7,23.4,.500,4.8,5.9,.813,2.3,13.0,15.3,2.2,1.7,2.2,3.3,4.4,28.5,,102,95
2012-13,36,BOS,NBA,C,6,6,212,7.8,15.6,.500,0.0,0.5,.000,7.8,15.1,.517,4.2,4.4,.941,2.3,19.0,21.3,5.5,1.3,1.6,4.9,6.0,19.8,,98,90
2013-14,37,BRK,NBA,C,12,12,250,7.3,14.0,.524,0.0,0.4,.000,7.3,13.6,.541,3.8,5.1,.739,4.2,12.7,16.9,3.6,2.0,1.1,2.9,5.6,18.4,,113,107
Career,,,NBA,,143,143,5283,10.9,22.8,.478,0.2,0.6,.273,10.8,22.3,.483,4.8,6.1,.789,3.3,12.5,15.8,4.9,1.8,1.9,3.5,4.4,26.8,,105,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,84,3030,11.0,22.5,.490,0.1,0.3,.176,11.0,22.2,.495,4.4,5.4,.819,3.0,12.0,15.0,4.0,1.9,1.7,3.0,4.6,26.6,,106,97
8 seasons,,MIN,NBA,,47,47,2003,11.1,24.3,.458,0.3,1.0,.333,10.8,23.4,.463,5.6,7.3,.761,3.6,13.2,16.8,6.3,1.7,2.4,4.3,4.0,28.1,,103,101
1 season,,BRK,NBA,,12,12,250,7.3,14.0,.524,0.0,0.4,.000,7.3,13.6,.541,3.8,5.1,.739,4.2,12.7,16.9,3.6,2.0,1.1,2.9,5.6,18.4,,113,107
