Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,20,MIN,NBA,SF,3,3,41.7,8.0,17.0,.471,0.3,0.3,1.000,7.7,16.7,.460,.480,1.0,1.0,1.000,4.7,4.7,9.3,3.7,1.3,1.0,1.3,2.0,17.3
1997-98,21,MIN,NBA,PF,5,5,38.8,7.2,15.0,.480,0.0,0.0,,7.2,15.0,.480,.480,1.4,1.8,.778,3.4,6.2,9.6,4.0,0.8,2.4,4.4,3.4,15.8
1998-99,22,MIN,NBA,PF,4,4,42.5,8.8,19.8,.443,0.0,0.5,.000,8.8,19.3,.455,.443,4.3,5.8,.739,4.0,8.0,12.0,3.8,1.8,2.0,3.3,2.5,21.8
1999-00,23,MIN,NBA,PF,4,4,42.8,7.5,19.5,.385,0.5,0.8,.667,7.0,18.8,.373,.397,3.3,4.0,.813,3.3,7.5,10.8,8.8,1.3,0.8,2.8,3.0,18.8
2000-01,24,MIN,NBA,PF,4,4,41.3,6.8,14.5,.466,0.0,0.8,.000,6.8,13.8,.491,.466,7.5,9.0,.833,2.5,9.5,12.0,4.3,1.0,1.5,1.5,3.3,21.0
2001-02,25,MIN,NBA,PF,3,3,43.3,8.0,18.7,.429,0.3,0.7,.500,7.7,18.0,.426,.438,7.7,10.7,.719,5.3,13.3,18.7,5.0,1.7,1.7,4.0,3.7,24.0
2002-03,26,MIN,NBA,PF,6,6,44.2,11.8,23.0,.514,0.5,1.5,.333,11.3,21.5,.527,.525,2.8,4.7,.607,1.8,13.8,15.7,5.2,1.7,1.7,3.0,3.8,27.0
2003-04,27,MIN,NBA,PF,18,18,43.5,9.3,20.7,.452,0.3,0.9,.313,9.1,19.8,.458,.458,5.4,6.9,.776,2.2,12.4,14.6,5.1,1.3,2.3,4.2,3.2,24.3
2007-08,31,BOS,NBA,PF,26,26,38.0,8.3,16.8,.495,0.1,0.3,.250,8.3,16.5,.500,.498,3.6,4.5,.810,2.8,7.8,10.5,3.3,1.3,1.1,2.1,2.8,20.4
2009-10,33,BOS,NBA,PF,23,23,33.3,6.5,13.1,.495,0.0,0.1,.000,6.5,13.0,.498,.495,2.0,2.4,.839,1.4,6.0,7.4,2.5,1.1,0.9,1.3,3.2,15.0
2010-11,34,BOS,NBA,PF,9,9,36.4,6.2,14.1,.441,0.0,0.1,.000,6.2,14.0,.444,.441,2.4,3.2,.759,2.3,8.6,10.9,2.6,1.9,1.0,2.1,3.0,14.9
2011-12,35,BOS,NBA,C,20,20,36.9,8.0,16.0,.497,0.1,0.2,.250,7.9,15.8,.500,.498,3.3,4.0,.813,1.6,8.8,10.3,1.5,1.2,1.5,2.2,3.0,19.2
2012-13,36,BOS,NBA,C,6,6,35.3,5.0,10.0,.500,0.0,0.3,.000,5.0,9.7,.517,.500,2.7,2.8,.941,1.5,12.2,13.7,3.5,0.8,1.0,3.2,3.8,12.7
2013-14,37,BRK,NBA,C,12,12,20.8,2.8,5.3,.524,0.0,0.2,.000,2.8,5.1,.541,.524,1.4,1.9,.739,1.6,4.8,6.3,1.3,0.8,0.4,1.1,2.1,6.9
Career,,,NBA,,143,143,36.9,7.4,15.5,.478,0.1,0.4,.273,7.3,15.1,.483,.481,3.3,4.1,.789,2.2,8.5,10.7,3.3,1.2,1.3,2.4,3.0,18.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,84,36.1,7.3,14.8,.490,0.0,0.2,.176,7.2,14.6,.495,.492,2.9,3.5,.819,2.0,7.9,9.9,2.6,1.3,1.1,2.0,3.1,17.5
8 seasons,,MIN,NBA,,47,47,42.6,8.8,19.3,.458,0.3,0.8,.333,8.6,18.5,.463,.464,4.4,5.8,.761,2.9,10.5,13.4,5.0,1.3,1.9,3.4,3.2,22.3
1 season,,BRK,NBA,,12,12,20.8,2.8,5.3,.524,0.0,0.2,.000,2.8,5.1,.541,.524,1.4,1.9,.739,1.6,4.8,6.3,1.3,0.8,0.4,1.1,2.1,6.9
