,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1996-97,20,MIN,NBA,SF,3,125,,,75%,25%,1%,-16.0,-21.1,1,3,4,0,2,,24,1,0
1997-98,21,MIN,NBA,PF,5,194,,,,3%,97%,-6.8,+8.2,3,10,8,2,4,,49,3,2
1998-99,22,MIN,NBA,PF,4,170,,,29%,65%,6%,-11.7,-27.4,5,2,1,1,9,,31,1,3
1999-00,23,MIN,NBA,PF,4,171,,,7%,93%,1%,-2.4,+4.7,5,2,4,1,7,0,73,0,5
2000-01,24,MIN,NBA,PF,4,165,,,,45%,55%,-11.9,-28.7,2,0,4,1,15,,39,2,3
2001-02,25,MIN,NBA,PF,3,130,,,12%,64%,24%,-5.9,+46.6,2,2,4,2,12,,35,2,4
2002-03,26,MIN,NBA,PF,6,265,,,,96%,4%,-5.6,+10.4,11,3,13,2,11,,68,2,3
2003-04,27,MIN,NBA,PF,18,783,,,,94%,6%,+2.5,+26.7,22,18,25,16,52,,219,11,12
2007-08,31,BOS,NBA,PF,26,987,,,,75%,25%,+10.3,+19.8,17,12,27,14,42,3,194,6,18
2009-10,33,BOS,NBA,PF,23,766,,,,77%,23%,+2.3,-2.4,13,6,34,9,22,3,126,8,18
2010-11,34,BOS,NBA,PF,9,328,,,,86%,15%,+6.8,+22.2,11,1,14,4,12,1,55,0,5
2011-12,35,BOS,NBA,C,20,737,,,,17%,84%,+9.6,+35.6,15,8,28,15,40,4,68,12,8
2012-13,36,BOS,NBA,C,6,212,,,,,100%,-1.5,+17.7,5,6,11,7,3,1,48,0,0
2013-14,37,BRK,NBA,C,12,250,,,,,100%,+1.3,+5.0,4,3,8,5,8,0,36,1,2
Career,,,NBA,,143,5283,,,3%,60%,36%,+2.5,+14.5,116,76,185,79,239,12,1065,49,83
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,3030,,,,57%,43%,+6.9,+18.2,61,33,114,49,119,12,491,26,49
8 seasons,,MIN,NBA,,47,2003,,,9%,73%,19%,-3.9,+10.0,51,40,63,25,112,0,538,22,32
1 season,,BRK,NBA,,12,250,,,,,100%,+1.3,+5.0,4,3,8,5,8,0,36,1,2
