,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1996-97,20,MIN,NBA,SF,3,125,.471,8.5,,.980,.294,.373,.137,.176,.020,,.460,.467,.474,.143,.667,1.000,,.826,.000,,.098,4,,.000,,,0,0
1997-98,21,MIN,NBA,PF,5,194,.480,8.2,,1.000,.200,.413,.227,.160,.000,,.480,.600,.452,.529,.333,,,.722,,,.027,2,,,,,0,0
1998-99,22,MIN,NBA,PF,4,170,.443,11.2,,.975,.190,.241,.190,.354,.025,,.455,.600,.316,.533,.429,.000,,.657,,,.063,5,,.000,,,0,0
1999-00,23,MIN,NBA,PF,4,171,.385,11.6,,.962,.269,.154,.115,.423,.038,,.373,.571,.417,.111,.303,.667,,.714,1.000,,.077,5,,.333,.000,,0,0
2000-01,24,MIN,NBA,PF,4,165,.466,12.5,,.948,.172,.207,.293,.276,.052,,.491,.600,.417,.647,.313,.000,,.556,,,.017,1,,.333,.000,,1,0
2001-02,25,MIN,NBA,PF,3,130,.429,8.2,,.964,.321,.304,.161,.179,.036,,.426,.500,.471,.333,.300,.500,,.391,.000,,.054,3,,.000,,,0,0
2002-03,26,MIN,NBA,PF,6,265,.514,13.2,,.935,.116,.210,.312,.297,.065,,.527,.750,.448,.512,.512,.333,,.618,1.000,,.036,5,,.000,,,0,0
2003-04,27,MIN,NBA,PF,18,783,.452,11.0,,.957,.226,.228,.239,.263,.043,,.458,.690,.271,.528,.357,.313,,.540,.400,,.043,16,,.000,,,4,0
2007-08,31,BOS,NBA,PF,26,987,.495,11.5,,.982,.235,.178,.226,.342,.018,,.500,.621,.462,.485,.447,.250,,.660,1.000,,.078,28,,.000,,,0,0
2009-10,33,BOS,NBA,PF,23,766,.495,10.1,,.993,.282,.223,.173,.316,.007,,.498,.612,.478,.385,.474,.000,,.664,,,.050,13,,.000,,,0,0
2010-11,34,BOS,NBA,PF,9,328,.441,10.3,,.992,.236,.268,.189,.299,.008,,.444,.667,.441,.333,.342,.000,,.571,,,.047,6,,.000,,,0,0
2011-12,35,BOS,NBA,C,20,737,.497,11.9,,.988,.191,.188,.250,.359,.013,,.500,.721,.517,.388,.452,.250,,.772,1.000,,.047,15,,.250,.000,,0,0
2012-13,36,BOS,NBA,C,6,212,.500,11.1,,.967,.183,.317,.150,.317,.033,,.517,.727,.368,.444,.579,.000,,.667,,,.050,3,,.000,,,0,0
2013-14,37,BRK,NBA,C,12,250,.524,10.8,,.968,.333,.206,.143,.286,.032,,.541,.762,.385,.556,.389,.000,,.818,,,.063,4,,.500,.000,,1,0
Career,,,NBA,,143,5283,.478,11.1,,.975,.228,.223,.216,.308,.025,,.483,.646,.422,.455,.427,.273,,.655,.667,,.054,110,,.073,.000,,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,3030,.490,11.1,,.986,.233,.207,.212,.335,.014,,.495,.648,.469,.420,.451,.176,,.683,1.000,,.059,65,,.059,.000,,0,0
8 seasons,,MIN,NBA,,47,2003,.458,11.0,,.960,.214,.247,.227,.272,.040,,.463,.629,.371,.495,.389,.333,,.600,.583,,.047,41,,.056,.000,,5,0
1 season,,BRK,NBA,,12,250,.524,10.8,,.968,.333,.206,.143,.286,.032,,.541,.762,.385,.556,.389,.000,,.818,,,.063,4,,.500,.000,,1,0
