Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,20,MIN,NBA,SF,3,3,125,6.9,14.7,.471,0.3,0.3,1.000,6.6,14.4,.460,0.9,0.9,1.000,4.0,4.0,8.1,3.2,1.2,0.9,1.2,1.7,15.0
1997-98,21,MIN,NBA,PF,5,5,194,6.7,13.9,.480,0.0,0.0,,6.7,13.9,.480,1.3,1.7,.778,3.2,5.8,8.9,3.7,0.7,2.2,4.1,3.2,14.7
1998-99,22,MIN,NBA,PF,4,4,170,7.4,16.7,.443,0.0,0.4,.000,7.4,16.3,.455,3.6,4.9,.739,3.4,6.8,10.2,3.2,1.5,1.7,2.8,2.1,18.4
1999-00,23,MIN,NBA,PF,4,4,171,6.3,16.4,.385,0.4,0.6,.667,5.9,15.8,.373,2.7,3.4,.813,2.7,6.3,9.1,7.4,1.1,0.6,2.3,2.5,15.8
2000-01,24,MIN,NBA,PF,4,4,165,5.9,12.7,.466,0.0,0.7,.000,5.9,12.0,.491,6.5,7.9,.833,2.2,8.3,10.5,3.7,0.9,1.3,1.3,2.8,18.3
2001-02,25,MIN,NBA,PF,3,3,130,6.6,15.5,.429,0.3,0.6,.500,6.4,15.0,.426,6.4,8.9,.719,4.4,11.1,15.5,4.2,1.4,1.4,3.3,3.0,19.9
2002-03,26,MIN,NBA,PF,6,6,265,9.6,18.7,.514,0.4,1.2,.333,9.2,17.5,.527,2.3,3.8,.607,1.5,11.3,12.8,4.2,1.4,1.4,2.4,3.1,22.0
2003-04,27,MIN,NBA,PF,18,18,783,7.7,17.1,.452,0.2,0.7,.313,7.5,16.4,.458,4.5,5.7,.776,1.8,10.3,12.1,4.2,1.1,1.9,3.4,2.6,20.1
2007-08,31,BOS,NBA,PF,26,26,987,7.9,16.0,.495,0.1,0.3,.250,7.8,15.7,.500,3.4,4.2,.810,2.6,7.4,10.0,3.2,1.3,1.1,2.0,2.7,19.3
2009-10,33,BOS,NBA,PF,23,23,766,7.0,14.1,.495,0.0,0.1,.000,7.0,14.1,.498,2.2,2.6,.839,1.5,6.5,8.0,2.7,1.2,0.9,1.5,3.5,16.2
2010-11,34,BOS,NBA,PF,9,9,328,6.1,13.9,.441,0.0,0.1,.000,6.1,13.8,.444,2.4,3.2,.759,2.3,8.5,10.8,2.5,1.9,1.0,2.1,3.0,14.7
2011-12,35,BOS,NBA,C,20,20,737,7.8,15.6,.497,0.0,0.2,.250,7.7,15.4,.500,3.2,3.9,.813,1.5,8.5,10.1,1.5,1.1,1.4,2.1,2.9,18.8
2012-13,36,BOS,NBA,C,6,6,212,5.1,10.2,.500,0.0,0.3,.000,5.1,9.8,.517,2.7,2.9,.941,1.5,12.4,13.9,3.6,0.8,1.0,3.2,3.9,12.9
2013-14,37,BRK,NBA,C,12,12,250,4.8,9.1,.524,0.0,0.3,.000,4.8,8.8,.541,2.4,3.3,.739,2.7,8.2,10.9,2.3,1.3,0.7,1.9,3.6,12.0
Career,,,NBA,,143,143,5283,7.2,15.1,.478,0.1,0.4,.273,7.1,14.7,.483,3.2,4.0,.789,2.2,8.3,10.5,3.2,1.2,1.3,2.3,2.9,17.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,BOS,NBA,,84,84,3030,7.3,14.8,.490,0.0,0.2,.176,7.2,14.6,.495,2.9,3.5,.819,2.0,7.9,9.9,2.6,1.3,1.1,2.0,3.1,17.5
8 seasons,,MIN,NBA,,47,47,2003,7.5,16.3,.458,0.2,0.6,.333,7.2,15.7,.463,3.7,4.9,.761,2.4,8.8,11.3,4.2,1.1,1.6,2.9,2.7,18.9
1 season,,BRK,NBA,,12,12,250,4.8,9.1,.524,0.0,0.3,.000,4.8,8.8,.541,2.4,3.3,.739,2.7,8.2,10.9,2.3,1.3,0.7,1.9,3.6,12.0
