,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1997-98,21,SAS,NBA,49:42,13,22,0,1,13,22,10,15,5,10,14,4,2,6,6,6,33,25.4
1998-99,22,SAS,NBA,46:44,13,24,0,1,13,24,19,23,6,15,18,7,3,6,6,6,37,32.0
2000-01,24,SAS,NBA,48:00,15,26,1,1,14,25,11,19,7,15,22,7,4,5,7,5,40,32.5
2001-02,25,SAS,NBA,46:38,11,30,1,2,11,30,14,16,7,20,25,11,1,7,10,5,34,28.4
2002-03,26,SAS,NBA,46:02,16,25,0,2,16,25,16,20,8,20,24,10,3,8,7,5,40,40.8
2003-04,27,SAS,NBA,45:34,13,18,0,1,13,18,10,14,6,15,21,8,3,5,7,4,30,23.2
2004-05,28,SAS,NBA,47:48,14,27,1,1,14,27,15,17,8,13,19,5,3,5,5,6,39,32.0
2005-06,29,SAS,NBA,49:33,15,24,0,1,15,24,17,23,6,12,15,6,1,6,4,6,41,36.2
2006-07,30,SAS,NBA,41:18,12,24,0,0,12,24,9,15,8,14,19,8,2,9,8,5,33,30.7
2007-08,31,SAS,NBA,50:41,16,28,1,1,15,28,9,12,9,18,23,10,3,4,5,5,40,35.9
2008-09,32,SAS,NBA,41:49,14,24,0,0,14,24,11,18,4,9,11,7,2,3,4,5,30,25.2
2009-10,33,SAS,NBA,43:30,12,20,1,1,12,20,5,12,6,12,17,5,3,3,6,5,29,25.9
2010-11,34,SAS,NBA,39:47,8,13,0,0,8,13,3,6,5,10,13,6,1,5,5,6,16,16.3
2011-12,35,SAS,NBA,40:36,12,23,0,1,12,23,7,10,5,13,14,6,2,5,3,4,26,23.6
2012-13,36,SAS,NBA,44:26,13,22,0,1,13,22,8,10,7,12,17,5,4,4,4,5,30,25.4
2013-14,37,SAS,NBA,39:40,12,20,0,1,12,20,7,8,7,11,16,4,2,3,5,5,27,22.0
2014-15,38,SAS,NBA,44:01,14,23,0,1,14,22,6,10,4,10,14,4,3,3,2,6,28,23.4
2015-16,39,SAS,NBA,34:25,7,14,0,0,7,14,5,6,2,10,11,4,1,3,2,4,19,12.2
Career,,,,50:41,16,30,1,2,16,30,19,23,9,20,25,11,4,9,10,6,41,40.8
