Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1997-98,21,SAS,NBA,PF,9,9,374,10.9,20.8,.521,0.0,0.1,.000,10.9,20.7,.525,5.9,8.9,.667,3.0,9.1,12.0,2.5,0.7,3.4,3.7,3.6,27.6,,107,100
1998-99,22,SAS,NBA,PF,17,17,733,11.0,21.6,.511,0.0,0.2,.000,11.0,21.4,.516,8.2,11.0,.748,4.2,10.7,15.0,3.7,1.0,3.5,4.0,3.8,30.3,,110,92
2000-01,24,SAS,NBA,PF,13,13,526,12.2,25.1,.488,0.1,0.1,1.000,12.1,25.0,.486,7.7,12.1,.639,5.5,13.6,19.1,5.0,1.4,3.6,5.1,4.4,32.3,,104,96
2001-02,25,SAS,NBA,PF,9,9,380,12.1,26.7,.453,0.1,0.4,.333,11.9,26.2,.455,12.2,14.9,.822,4.1,15.0,19.1,6.6,0.9,5.7,5.5,3.2,36.5,,109,94
2002-03,26,SAS,NBA,PF,24,24,1021,11.3,21.3,.529,0.0,0.4,.000,11.3,20.9,.538,8.1,12.0,.677,5.0,14.1,19.1,6.6,0.8,4.1,3.9,4.0,30.6,,116,92
2003-04,27,SAS,NBA,PF,10,10,405,11.3,21.6,.522,0.0,0.1,.000,11.3,21.5,.525,7.5,11.8,.632,4.5,10.9,15.4,4.3,1.1,2.7,5.7,4.6,30.0,,104,96
2004-05,28,SAS,NBA,PF,23,23,869,12.5,26.9,.464,0.1,0.3,.200,12.4,26.6,.467,9.3,13.0,.717,5.5,12.6,18.1,4.0,0.5,3.3,3.9,4.2,34.3,,111,101
2005-06,29,SAS,NBA,PF,13,13,493,13.3,23.3,.573,0.0,0.2,.000,13.3,23.1,.579,10.4,14.5,.718,3.6,11.5,15.1,4.7,1.2,2.8,3.8,5.5,37.1,,123,107
2006-07,30,SAS,NBA,C,20,20,736,12.8,24.5,.521,0.0,0.0,,12.8,24.5,.521,7.0,10.9,.644,5.4,11.4,16.8,4.8,1.0,4.5,4.3,4.3,32.6,,111,98
2007-08,31,SAS,NBA,C,17,17,666,10.9,24.2,.449,0.1,0.4,.200,10.8,23.8,.453,5.8,9.3,.626,4.9,15.0,19.9,4.5,1.2,2.8,3.3,3.3,27.6,,101,99
2008-09,32,SAS,NBA,C,5,5,164,14.0,26.3,.532,0.0,0.0,,14.0,26.3,.532,5.8,9.6,.607,4.1,9.6,13.7,5.5,1.0,2.0,2.4,3.8,33.8,,115,110
2009-10,33,SAS,NBA,C,10,10,373,11.0,21.2,.520,0.1,0.3,.500,10.9,20.9,.520,4.7,9.8,.478,4.2,9.8,14.0,3.7,1.1,2.4,3.4,3.8,26.9,,104,107
2010-11,34,SAS,NBA,C,6,6,212,8.2,17.2,.478,0.0,0.0,,8.2,17.2,.478,2.5,4.0,.625,4.0,11.7,15.7,4.0,0.7,3.7,4.5,4.2,19.0,,94,102
2011-12,35,SAS,NBA,C,14,14,463,11.3,22.9,.495,0.0,0.1,.000,11.3,22.8,.498,4.6,6.5,.707,3.6,11.1,14.7,4.4,1.1,3.3,2.4,3.4,27.3,,110,100
2012-13,36,SAS,NBA,C,21,21,735,11.0,23.4,.470,0.0,0.1,.000,11.0,23.3,.472,5.8,7.1,.806,3.9,11.7,15.6,2.9,1.3,2.5,3.1,3.9,27.8,,106,98
2013-14,37,SAS,NBA,C,23,23,752,10.3,19.6,.523,0.0,0.1,.000,10.3,19.5,.527,5.2,6.9,.760,4.5,10.1,14.5,3.1,0.5,2.0,1.8,3.6,25.8,,120,104
2014-15,38,SAS,NBA,C,7,7,250,10.8,18.3,.589,0.0,0.2,.000,10.8,18.1,.596,3.9,6.9,.559,3.9,12.0,15.8,4.7,1.8,2.0,1.4,5.3,25.4,,125,102
2015-16,39,SAS,NBA,C,10,10,218,5.3,12.5,.423,0.0,0.0,,5.3,12.5,.423,3.6,5.0,.714,2.4,9.1,11.5,3.4,0.5,3.1,2.4,4.3,14.1,,99,101
