Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,SAS,NBA,PF,9,9,374,7.0,13.5,.521,0.0,0.1,.000,7.0,13.4,.525,3.9,5.8,.667,1.9,5.9,7.8,1.6,0.5,2.2,2.4,2.3,17.9
1998-99,22,SAS,NBA,PF,17,17,733,7.1,13.8,.511,0.0,0.1,.000,7.1,13.7,.516,5.3,7.0,.748,2.7,6.9,9.6,2.4,0.6,2.2,2.6,2.5,19.4
2000-01,24,SAS,NBA,PF,13,13,526,8.2,16.8,.488,0.1,0.1,1.000,8.1,16.8,.486,5.2,8.1,.639,3.7,9.2,12.9,3.4,1.0,2.4,3.4,2.9,21.7
2001-02,25,SAS,NBA,PF,9,9,380,7.8,17.1,.453,0.1,0.3,.333,7.7,16.9,.455,7.9,9.6,.822,2.7,9.7,12.3,4.3,0.6,3.7,3.5,2.1,23.5
2002-03,26,SAS,NBA,PF,24,24,1021,7.7,14.5,.529,0.0,0.2,.000,7.7,14.3,.538,5.5,8.2,.677,3.4,9.6,13.0,4.5,0.5,2.8,2.7,2.8,20.9
2003-04,27,SAS,NBA,PF,10,10,405,7.4,14.1,.522,0.0,0.1,.000,7.4,14.0,.525,4.9,7.7,.632,2.9,7.1,10.0,2.8,0.7,1.8,3.7,3.0,19.6
2004-05,28,SAS,NBA,PF,23,23,869,8.2,17.6,.464,0.0,0.2,.200,8.1,17.4,.467,6.1,8.5,.717,3.6,8.2,11.8,2.6,0.3,2.2,2.6,2.7,22.5
2005-06,29,SAS,NBA,PF,13,13,493,8.8,15.4,.573,0.0,0.1,.000,8.8,15.3,.579,6.9,9.6,.718,2.4,7.6,10.0,3.1,0.8,1.8,2.5,3.7,24.5
2006-07,30,SAS,NBA,C,20,20,736,8.5,16.3,.521,0.0,0.0,,8.5,16.3,.521,4.7,7.3,.644,3.6,7.6,11.2,3.2,0.6,3.0,2.9,2.9,21.7
2007-08,31,SAS,NBA,C,17,17,666,7.3,16.3,.449,0.1,0.3,.200,7.2,16.0,.453,3.9,6.2,.626,3.3,10.1,13.4,3.0,0.8,1.9,2.2,2.2,18.5
2008-09,32,SAS,NBA,C,5,5,164,9.0,16.9,.532,0.0,0.0,,9.0,16.9,.532,3.7,6.1,.607,2.6,6.1,8.8,3.5,0.7,1.3,1.5,2.4,21.7
2009-10,33,SAS,NBA,C,10,10,373,7.5,14.5,.520,0.1,0.2,.500,7.4,14.3,.520,3.2,6.7,.478,2.9,6.7,9.6,2.5,0.8,1.6,2.3,2.6,18.3
2010-11,34,SAS,NBA,C,6,6,212,5.6,11.7,.478,0.0,0.0,,5.6,11.7,.478,1.7,2.7,.625,2.7,8.0,10.7,2.7,0.5,2.5,3.1,2.9,12.9
2011-12,35,SAS,NBA,C,14,14,463,7.9,15.9,.495,0.0,0.1,.000,7.9,15.8,.498,3.2,4.5,.707,2.5,7.7,10.2,3.0,0.8,2.3,1.6,2.3,18.9
2012-13,36,SAS,NBA,C,21,21,735,7.4,15.7,.470,0.0,0.0,.000,7.4,15.7,.472,3.9,4.8,.806,2.6,7.8,10.5,2.0,0.9,1.7,2.1,2.6,18.7
2013-14,37,SAS,NBA,C,23,23,752,7.1,13.6,.523,0.0,0.1,.000,7.1,13.5,.527,3.6,4.8,.760,3.1,7.0,10.1,2.2,0.3,1.4,1.2,2.5,17.9
2014-15,38,SAS,NBA,C,7,7,250,7.6,13.0,.589,0.0,0.1,.000,7.6,12.8,.596,2.7,4.9,.559,2.7,8.5,11.2,3.3,1.3,1.4,1.0,3.7,18.0
2015-16,39,SAS,NBA,C,10,10,218,3.6,8.6,.423,0.0,0.0,,3.6,8.6,.423,2.5,3.5,.714,1.7,6.3,7.9,2.3,0.3,2.1,1.7,3.0,9.7
Career,,,NBA,,251,251,9370,7.6,15.1,.501,0.0,0.1,.143,7.6,15.0,.505,4.7,6.8,.689,3.0,8.0,11.0,2.9,0.6,2.2,2.4,2.7,19.9
