Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,SAS,NBA,PF,9,9,41.6,8.1,15.6,.521,0.0,0.1,.000,8.1,15.4,.525,.521,4.4,6.7,.667,2.2,6.8,9.0,1.9,0.6,2.6,2.8,2.7,20.7
1998-99,22,SAS,NBA,PF,17,17,43.1,8.5,16.6,.511,0.0,0.2,.000,8.5,16.4,.516,.511,6.3,8.4,.748,3.2,8.2,11.5,2.8,0.8,2.6,3.1,2.9,23.2
2000-01,24,SAS,NBA,PF,13,13,40.5,9.2,18.9,.488,0.1,0.1,1.000,9.2,18.8,.486,.490,5.8,9.2,.639,4.2,10.3,14.5,3.8,1.1,2.7,3.8,3.3,24.4
2001-02,25,SAS,NBA,PF,9,9,42.2,9.1,20.1,.453,0.1,0.3,.333,9.0,19.8,.455,.456,9.2,11.2,.822,3.1,11.3,14.4,5.0,0.7,4.3,4.1,2.4,27.6
2002-03,26,SAS,NBA,PF,24,24,42.5,9.1,17.2,.529,0.0,0.3,.000,9.1,16.9,.538,.529,6.5,9.7,.677,4.0,11.4,15.4,5.3,0.6,3.3,3.2,3.3,24.7
2003-04,27,SAS,NBA,PF,10,10,40.5,8.3,15.9,.522,0.0,0.1,.000,8.3,15.8,.525,.522,5.5,8.7,.632,3.3,8.0,11.3,3.2,0.8,2.0,4.2,3.4,22.1
2004-05,28,SAS,NBA,PF,23,23,37.8,8.6,18.5,.464,0.0,0.2,.200,8.5,18.3,.467,.465,6.4,8.9,.717,3.8,8.7,12.4,2.7,0.3,2.3,2.7,2.9,23.6
2005-06,29,SAS,NBA,PF,13,13,37.9,9.3,16.2,.573,0.0,0.2,.000,9.3,16.1,.579,.573,7.2,10.1,.718,2.5,8.0,10.5,3.3,0.8,1.9,2.6,3.8,25.8
2006-07,30,SAS,NBA,C,20,20,36.8,8.7,16.7,.521,0.0,0.0,,8.7,16.7,.521,.521,4.8,7.5,.644,3.7,7.8,11.5,3.3,0.7,3.1,3.0,3.0,22.2
2007-08,31,SAS,NBA,C,17,17,39.2,7.9,17.7,.449,0.1,0.3,.200,7.9,17.4,.453,.450,4.2,6.8,.626,3.6,10.9,14.5,3.3,0.9,2.1,2.4,2.4,20.2
2008-09,32,SAS,NBA,C,5,5,32.8,8.2,15.4,.532,0.0,0.0,,8.2,15.4,.532,.532,3.4,5.6,.607,2.4,5.6,8.0,3.2,0.6,1.2,1.4,2.2,19.8
2009-10,33,SAS,NBA,C,10,10,37.3,7.8,15.0,.520,0.1,0.2,.500,7.7,14.8,.520,.523,3.3,6.9,.478,3.0,6.9,9.9,2.6,0.8,1.7,2.4,2.7,19.0
2010-11,34,SAS,NBA,C,6,6,35.3,5.5,11.5,.478,0.0,0.0,,5.5,11.5,.478,.478,1.7,2.7,.625,2.7,7.8,10.5,2.7,0.5,2.5,3.0,2.8,12.7
2011-12,35,SAS,NBA,C,14,14,33.1,7.2,14.6,.495,0.0,0.1,.000,7.2,14.5,.498,.495,2.9,4.1,.707,2.3,7.1,9.4,2.8,0.7,2.1,1.5,2.1,17.4
2012-13,36,SAS,NBA,C,21,21,35.0,7.2,15.3,.470,0.0,0.0,.000,7.2,15.2,.472,.470,3.8,4.7,.806,2.6,7.6,10.2,1.9,0.9,1.6,2.0,2.5,18.1
2013-14,37,SAS,NBA,C,23,23,32.7,6.5,12.4,.523,0.0,0.1,.000,6.5,12.3,.527,.523,3.3,4.3,.760,2.8,6.3,9.2,2.0,0.3,1.3,1.1,2.3,16.3
2014-15,38,SAS,NBA,C,7,7,35.7,7.6,12.9,.589,0.0,0.1,.000,7.6,12.7,.596,.589,2.7,4.9,.559,2.7,8.4,11.1,3.3,1.3,1.4,1.0,3.7,17.9
2015-16,39,SAS,NBA,C,10,10,21.8,2.2,5.2,.423,0.0,0.0,,2.2,5.2,.423,.423,1.5,2.1,.714,1.0,3.8,4.8,1.4,0.2,1.3,1.0,1.8,5.9
Career,,,NBA,,251,251,37.3,7.9,15.7,.501,0.0,0.1,.143,7.8,15.6,.505,.502,4.8,7.0,.689,3.1,8.3,11.4,3.0,0.7,2.3,2.5,2.8,20.6
