,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1997-98,21,SAS,NBA,PF,9,374,,,24%,72%,4%,+5.0,-3.1,6,7,10,4,25,,39,4,9
1998-99,22,SAS,NBA,PF,17,733,,,,82%,19%,+10.4,-3.6,14,15,25,5,53,,111,17,17
2000-01,24,SAS,NBA,PF,13,526,,,,65%,35%,+5.9,+38.8,20,19,20,6,53,,114,11,26
2001-02,25,SAS,NBA,PF,9,380,,,,19%,81%,+8.3,+23.3,19,10,13,4,45,,100,7,14
2002-03,26,SAS,NBA,PF,24,1021,,,,50%,50%,+9.1,+23.1,35,21,51,8,98,,287,19,31
2003-04,27,SAS,NBA,PF,10,405,,,,54%,46%,+3.2,-2.3,13,21,20,3,38,,71,6,11
2004-05,28,SAS,NBA,PF,23,869,,,,47%,53%,+3.3,-5.3,17,29,35,11,96,,156,23,36
2005-06,29,SAS,NBA,PF,13,493,,,,18%,82%,+5.3,+13.1,9,16,38,6,66,1,103,23,16
2006-07,30,SAS,NBA,C,20,736,,,,22%,78%,+5.5,+5.2,6,28,40,10,72,2,152,9,32
2007-08,31,SAS,NBA,C,17,666,,,,,100%,-0.1,+2.6,11,21,18,7,58,2,134,13,29
2008-09,32,SAS,NBA,C,5,164,,,,,100%,-8.9,-4.5,5,1,5,1,15,0,36,4,5
2009-10,33,SAS,NBA,C,10,373,,,,,100%,-1.1,+14.1,8,9,16,1,35,1,54,9,14
2010-11,34,SAS,NBA,C,6,212,,,,,100%,-4.5,-3.3,8,5,8,5,7,2,37,0,3
2011-12,35,SAS,NBA,C,14,463,,,,,100%,+14.5,+22.9,6,12,16,2,27,1,91,8,23
2012-13,36,SAS,NBA,C,21,735,,,,,100%,+5.9,-4.9,21,13,27,5,45,3,91,11,21
2013-14,37,SAS,NBA,C,23,752,,,,,100%,+9.9,-0.8,11,10,31,4,47,1,100,10,21
2014-15,38,SAS,NBA,C,7,250,,,,,100%,+2.8,+7.6,3,2,17,1,16,0,55,3,9
2015-16,39,SAS,NBA,C,10,218,,,,2%,98%,+16.5,+11.8,4,5,13,1,11,0,30,3,8
Career,,,NBA,,251,9370,,,1%,29%,71%,+6.0,+7.5,216,244,403,84,807,13,1761,180,325
