Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1997-98,21,SAS,NBA,PF,82,82,3204,12.0,21.8,.549,0.0,0.2,.000,12.0,21.6,.553,5.4,8.2,.662,4.6,11.9,16.6,3.8,0.9,3.5,4.7,4.3,29.3,,108,95
1998-99,22,SAS,NBA,PF,50,50,1963,11.5,23.3,.495,0.0,0.2,.143,11.5,23.1,.498,6.8,9.9,.690,4.4,11.4,15.8,3.3,1.2,3.5,4.0,4.1,29.9,,106,91
1999-00,23,SAS,NBA,PF,74,74,2875,11.6,23.6,.490,0.0,0.2,.091,11.5,23.4,.494,8.4,11.1,.761,4.8,12.1,16.9,4.3,1.2,3.0,4.5,3.9,31.6,,109,95
2000-01,24,SAS,NBA,PF,82,82,3174,11.9,23.7,.499,0.1,0.5,.259,11.7,23.3,.504,6.9,11.2,.618,4.4,12.5,16.8,4.1,1.2,3.2,4.1,4.2,30.7,,106,94
2001-02,25,SAS,NBA,PF,82,82,3329,12.2,24.1,.508,0.0,0.2,.100,12.2,23.9,.511,9.0,11.2,.799,4.3,12.4,16.7,4.9,1.0,3.3,4.2,3.5,33.5,,114,96
2002-03,26,SAS,NBA,PF,81,81,3181,12.0,23.3,.513,0.1,0.4,.273,11.9,23.0,.517,7.5,10.6,.710,4.3,13.1,17.5,5.3,0.9,4.0,4.2,3.9,31.6,,112,94
2003-04,27,SAS,NBA,PF,69,68,2527,12.6,25.1,.501,0.0,0.3,.167,12.6,24.9,.505,7.5,12.5,.599,4.8,13.5,18.3,4.5,1.3,3.9,3.9,3.5,32.8,,107,89
2004-05,28,SAS,NBA,PF,66,66,2203,12.7,25.5,.496,0.1,0.2,.333,12.6,25.3,.498,7.5,11.1,.670,4.9,13.0,17.9,4.4,1.1,4.3,3.1,3.5,32.9,,112,93
2005-06,29,SAS,NBA,PF,80,80,2784,11.2,23.1,.484,0.0,0.1,.400,11.1,23.0,.485,6.5,10.4,.629,4.5,12.7,17.2,4.9,1.4,3.2,3.9,4.3,28.9,,106,94
2006-07,30,SAS,NBA,C,80,80,2726,12.1,22.2,.546,0.0,0.2,.111,12.1,22.0,.550,7.1,11.1,.637,4.2,12.4,16.6,5.4,1.3,3.7,4.4,4.0,31.4,,111,94
2007-08,31,SAS,NBA,C,78,78,2651,11.9,24.0,.497,0.0,0.1,.000,11.9,23.9,.498,6.9,9.4,.730,4.8,13.1,18.0,4.4,1.1,3.1,3.6,3.8,30.8,,110,97
2008-09,32,SAS,NBA,C,75,75,2524,12.0,23.8,.504,0.0,0.0,.000,12.0,23.8,.505,7.2,10.4,.692,4.3,12.9,17.2,5.7,0.8,2.7,3.5,3.7,31.2,,111,100
2009-10,33,SAS,NBA,C,78,77,2438,12.0,23.2,.518,0.0,0.2,.182,12.0,23.0,.522,5.8,8.0,.725,4.7,12.2,16.9,5.3,1.0,2.5,3.0,3.3,30.0,,116,101
2010-11,34,SAS,NBA,C,76,76,2156,10.1,20.2,.500,0.0,0.1,.000,10.1,20.1,.502,4.4,6.2,.716,4.1,12.3,16.4,4.9,1.2,3.5,2.9,2.9,24.6,,111,100
2011-12,35,SAS,NBA,C,58,58,1634,11.4,23.2,.492,0.0,0.1,.000,11.4,23.1,.495,5.5,7.9,.695,3.5,13.0,16.4,4.2,1.2,2.8,3.1,3.1,28.3,,108,99
2012-13,36,SAS,NBA,C,69,69,2078,12.0,23.9,.502,0.0,0.2,.286,12.0,23.8,.504,6.0,7.4,.817,3.0,13.8,16.8,4.5,1.2,4.5,3.6,2.9,30.1,,107,95
2013-14,37,SAS,NBA,C,74,74,2158,10.4,21.2,.490,0.0,0.1,.000,10.4,21.1,.493,5.4,7.4,.731,3.7,13.2,16.9,5.2,1.0,3.3,3.7,3.1,26.2,,106,98
2014-15,38,SAS,NBA,C,77,77,2227,9.6,18.8,.512,0.0,0.2,.286,9.6,18.7,.514,5.3,7.1,.740,3.9,12.3,16.2,5.3,1.4,3.5,3.0,3.8,24.6,,113,97
2015-16,39,SAS,NBA,C,61,60,1536,7.2,14.7,.488,0.0,0.1,.000,7.2,14.6,.490,3.1,4.4,.702,3.8,11.1,14.9,5.4,1.6,2.6,3.0,4.2,17.4,,107,96
Career,,,NBA,,1392,1389,47368,11.5,22.8,.506,0.0,0.2,.179,11.5,22.6,.509,6.6,9.5,.696,4.3,12.6,16.9,4.7,1.1,3.4,3.8,3.7,29.7,,110,96
