,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1997-98,21,SAS,NBA,PF,9,374,.521,7.9,,.993,.271,.336,.257,.129,.007,,.525,.579,.596,.361,.556,.000,,.616,,,.057,7,,.000,,,0,0
1998-99,22,SAS,NBA,PF,17,733,.511,6.8,,.989,.323,.415,.152,.099,.011,,.516,.714,.444,.465,.250,.000,,.639,,,.092,22,,.333,.000,,0,0
2000-01,24,SAS,NBA,PF,13,526,.488,6.8,,.996,.411,.280,.207,.098,.004,,.486,.634,.391,.412,.292,1.000,,.462,.000,,.118,27,,.000,,,0,0
2001-02,25,SAS,NBA,PF,9,380,.453,8.1,,.983,.276,.343,.271,.094,.017,,.455,.700,.419,.327,.235,.333,,.383,1.000,,.083,13,,.333,.000,,0,0
2002-03,26,SAS,NBA,PF,24,1021,.529,7.9,,.983,.303,.352,.235,.092,.017,,.538,.712,.490,.412,.474,.000,,.514,,,.068,24,,.000,,,2,0
2003-04,27,SAS,NBA,PF,10,405,.522,8.4,,.994,.270,.308,.252,.164,.006,,.525,.721,.510,.350,.500,.000,,.494,,,.082,11,,.000,,,0,0
2004-05,28,SAS,NBA,PF,23,869,.464,7.4,,.988,.313,.386,.188,.101,.012,,.467,.669,.421,.300,.326,.200,,.500,1.000,,.073,29,,.000,,,1,0
2005-06,29,SAS,NBA,PF,13,493,.573,6.2,,.991,.384,.403,.095,.109,.009,,.579,.827,.494,.350,.217,.000,,.413,,,.052,11,,.000,,,0,0
2006-07,30,SAS,NBA,C,20,736,.521,6.3,,1.000,.362,.392,.189,.057,.000,,.521,.694,.405,.492,.316,,,.483,,,.063,18,,,,,0,0
2007-08,31,SAS,NBA,C,17,666,.449,7.6,,.983,.349,.339,.169,.126,.017,,.453,.619,.363,.333,.395,.200,,.530,1.000,,.060,18,,.000,,,1,0
2008-09,32,SAS,NBA,C,5,164,.532,7.6,,1.000,.299,.377,.221,.104,.000,,.532,.696,.345,.588,.625,,,.439,,,.078,5,,,,,0,0
2009-10,33,SAS,NBA,C,10,373,.520,6.7,,.987,.360,.380,.200,.047,.013,,.520,.722,.456,.367,.143,.500,,.558,1.000,,.073,8,,.000,,,0,0
2010-11,34,SAS,NBA,C,6,212,.478,6.2,,1.000,.435,.319,.145,.101,.000,,.478,.700,.273,.500,.143,,,.576,,,.116,7,,,,,0,0
2011-12,35,SAS,NBA,C,14,463,.495,8.9,,.995,.294,.294,.201,.206,.005,,.498,.583,.550,.390,.405,.000,,.594,,,.049,9,,.000,,,0,0
2012-13,36,SAS,NBA,C,21,735,.470,9.4,,.997,.252,.302,.199,.243,.003,,.472,.691,.392,.375,.423,.000,,.563,,,.040,13,,.000,,,0,0
2013-14,37,SAS,NBA,C,23,752,.523,7.2,,.993,.393,.316,.144,.140,.007,,.527,.696,.467,.366,.350,.000,,.705,,,.028,8,,.500,.000,,0,0
2014-15,38,SAS,NBA,C,7,250,.589,5.9,,.989,.344,.489,.122,.033,.011,,.596,.613,.568,.727,.333,.000,,.585,,,.056,5,,.000,,,0,0
2015-16,39,SAS,NBA,C,10,218,.423,3.8,,1.000,.558,.346,.058,.019,.000,,.423,.448,.444,.333,.000,,,.818,,,.038,2,,,,,0,0
Career,,,NBA,,251,9370,.501,7.4,,.991,.332,.352,.190,.117,.009,,.505,.679,.445,.392,.372,.143,,.537,.800,,.067,237,,.086,.000,,4,0
