Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,21,SAS,NBA,PF,82,3204,22.6,.577,.008,.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26.0,,5.6,7.2,12.8,.192,,2.5,2.1,4.6,5.4
1998-99,22,SAS,NBA,PF,50,1963,23.2,.541,.008,.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,,4.0,4.7,8.7,.213,,2.7,1.8,4.5,3.2
1999-00,23,SAS,NBA,PF,74,2875,24.8,.555,.009,.471,10.8,24.8,18.1,15.5,1.2,4.0,13.5,28.7,,6.7,6.4,13.0,.218,,3.8,1.8,5.6,5.5
2000-01,24,SAS,NBA,PF,82,3174,23.8,.536,.019,.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,,6.2,7.1,13.2,.200,,2.9,1.8,4.7,5.4
2001-02,25,SAS,NBA,PF,82,3329,27.0,.576,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,,10.7,7.1,17.8,.257,,5.4,2.2,7.6,8.0
2002-03,26,SAS,NBA,PF,81,3181,26.9,.564,.016,.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,,9.5,6.9,16.5,.248,,5.0,2.5,7.6,7.7
2003-04,27,SAS,NBA,PF,69,2527,27.1,.534,.010,.498,10.2,27.6,19.0,17.4,1.3,5.3,11.3,29.7,,5.9,7.2,13.1,.249,,5.2,3.3,8.5,6.7
2004-05,28,SAS,NBA,PF,66,2203,27.0,.540,.009,.437,10.7,28.2,19.4,16.1,1.1,5.7,9.3,28.9,,5.5,5.7,11.2,.245,,4.8,2.8,7.6,5.4
2005-06,29,SAS,NBA,PF,80,2784,23.1,.523,.004,.450,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,,3.9,6.9,10.8,.187,,2.3,2.6,5.0,4.9
2006-07,30,SAS,NBA,C,80,2726,26.1,.579,.008,.502,9.8,27.0,18.8,18.8,1.3,5.1,14.0,27.9,,6.3,6.8,13.0,.230,,3.8,3.2,7.0,6.2
2007-08,31,SAS,NBA,C,78,2651,24.4,.546,.003,.393,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,,4.9,6.2,11.1,.201,,3.0,2.2,5.2,4.8
2008-09,32,SAS,NBA,C,75,2524,24.4,.549,.002,.436,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,,5.0,5.0,10.1,.191,,3.4,2.0,5.4,4.7
2009-10,33,SAS,NBA,C,78,2438,24.7,.560,.010,.346,10.8,26.8,18.9,17.8,1.0,3.5,10.1,26.0,,6.4,4.5,10.9,.215,,4.4,1.8,6.1,5.0
2010-11,34,SAS,NBA,C,76,2156,21.9,.537,.005,.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,,3.7,4.0,7.7,.171,,2.2,2.2,4.4,3.5
2011-12,35,SAS,NBA,C,58,1634,22.5,.531,.005,.340,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,,3.0,2.9,5.9,.174,,2.0,1.3,3.3,2.2
2012-13,36,SAS,NBA,C,69,2078,24.4,.554,.007,.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,,3.4,4.9,8.3,.191,,2.4,2.9,5.3,3.8
2013-14,37,SAS,NBA,C,74,2158,21.3,.535,.006,.349,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,,2.8,4.6,7.4,.164,,1.2,2.1,3.3,2.9
2014-15,38,SAS,NBA,C,77,2227,22.6,.560,.009,.380,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,,4.9,4.7,9.6,.207,,2.3,2.8,5.1,4.0
2015-16,39,SAS,NBA,C,61,1536,16.9,.523,.005,.297,8.8,23.8,16.6,15.3,1.6,3.9,15.3,17.6,,1.6,3.6,5.2,.163,,-0.1,3.1,3.0,2.0
Career,,,NBA,,1392,47368,24.2,.551,.008,.416,9.7,26.5,18.4,16.4,1.1,4.6,12.3,27.0,,100.0,106.3,206.4,.209,,3.3,2.3,5.6,91.1
