,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1997-98,21,SAS,NBA,48:51,15,28,0,1,15,28,10,15,10,16,22,9,3,8,10,6,35,32.8
1998-99,22,SAS,NBA,51:35,19,31,1,1,19,31,10,15,10,14,19,8,5,7,8,6,39,30.0
1999-00,23,SAS,NBA,48:25,16,28,1,2,16,27,16,19,9,18,20,11,8,8,8,6,46,39.7
2000-01,24,SAS,NBA,50:42,17,31,1,2,17,31,16,24,9,17,23,7,3,6,7,5,42,33.9
2001-02,25,SAS,NBA,51:31,19,29,1,1,19,29,17,18,12,14,21,9,4,7,8,6,53,42.8
2002-03,26,SAS,NBA,50:50,16,29,1,2,16,29,15,20,10,23,25,10,4,8,8,6,38,44.7
2003-04,27,SAS,NBA,46:38,19,34,1,2,19,32,12,17,11,16,21,7,3,8,7,6,47,36.2
2004-05,28,SAS,NBA,44:28,14,27,1,2,13,27,12,17,7,16,19,9,3,7,5,5,39,37.3
2005-06,29,SAS,NBA,45:11,15,28,1,2,15,28,13,15,9,18,22,9,3,6,6,6,34,28.7
2006-07,30,SAS,NBA,44:44,15,28,1,1,15,28,11,19,8,15,18,9,5,9,8,5,37,36.5
2007-08,31,SAS,NBA,43:41,15,25,0,1,15,25,14,16,6,14,18,7,3,5,7,6,36,33.2
2008-09,32,SAS,NBA,50:21,13,26,0,1,13,26,11,13,7,16,19,9,3,6,7,6,32,31.7
2009-10,33,SAS,NBA,41:15,14,23,1,2,14,23,15,21,11,17,27,7,2,5,6,6,34,31.0
2010-11,34,SAS,NBA,38:14,12,19,0,1,12,19,7,8,7,16,18,11,3,7,6,5,28,31.2
2011-12,35,SAS,NBA,41:20,11,21,0,2,11,19,9,11,6,15,19,7,3,5,5,4,28,25.1
2012-13,36,SAS,NBA,41:08,13,25,1,1,13,25,11,13,6,18,21,6,3,7,6,5,34,31.0
2013-14,37,SAS,NBA,40:08,13,23,0,1,13,22,9,12,6,15,21,8,3,6,6,6,31,27.7
2014-15,38,SAS,NBA,47:44,12,24,1,2,12,24,8,15,7,13,18,10,3,6,6,5,32,30.9
2015-16,39,SAS,NBA,36:12,9,15,0,1,9,15,7,7,6,13,18,7,4,6,4,5,21,19.9
Career,,,,51:35,19,34,1,2,19,32,17,24,12,23,27,11,8,9,10,6,53,44.7
