,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1997-98,21,SAS,NBA,PF,82,3204,,,8%,80%,12%,+8.0,+13.1,113,55,149,28,200,,491,54,94
1998-99,22,SAS,NBA,PF,50,1963,,,,80%,20%,+10.6,+4.2,66,35,91,17,152,,262,26,63
1999-00,23,SAS,NBA,PF,74,2875,,,,65%,35%,+9.9,+8.8,91,69,100,41,247,19,503,45,98
2000-01,24,SAS,NBA,PF,82,3174,,,,61%,39%,+11.4,+12.5,82,70,142,35,274,,554,53,102
2001-02,25,SAS,NBA,PF,82,3329,,,,61%,39%,+8.7,+9.4,119,82,96,35,304,,684,70,113
2002-03,26,SAS,NBA,PF,81,3181,,,,57%,43%,+9.1,+14.7,102,82,132,36,263,,709,65,102
2003-04,27,SAS,NBA,PF,69,2527,,,,57%,43%,+11.2,+8.5,70,74,80,23,268,,475,61,87
2004-05,28,SAS,NBA,PF,66,2203,,,,47%,53%,+16.9,+17.8,44,47,93,18,200,,404,41,57
2005-06,29,SAS,NBA,PF,80,2784,,,,71%,29%,+9.4,+4.2,59,72,118,31,244,10,571,61,65
2006-07,30,SAS,NBA,C,80,2726,,,,29%,71%,+13.8,+14.5,70,81,119,23,275,11,621,69,93
2007-08,31,SAS,NBA,C,78,2651,,,,6%,94%,+8.2,+8.4,68,69,108,21,226,7,506,49,105
2008-09,32,SAS,NBA,C,75,2524,,,,,100%,+4.3,+1.0,59,66,97,17,238,7,600,52,91
2009-10,33,SAS,NBA,C,78,2438,,,,,100%,+7.6,+4.8,61,52,85,11,189,6,541,41,68
2010-11,34,SAS,NBA,C,76,2156,,,,,100%,+9.9,+7.5,56,26,70,15,118,3,459,21,47
2011-12,35,SAS,NBA,C,58,1634,,,,,100%,+8.8,+1.8,47,26,50,17,123,5,292,29,53
2012-13,36,SAS,NBA,C,69,2078,,,,,100%,+10.5,+7.7,68,54,80,14,142,3,403,28,75
2013-14,37,SAS,NBA,C,74,2158,,,,,100%,+6.7,-3.2,76,50,78,15,160,4,485,31,66
2014-15,38,SAS,NBA,C,77,2227,,,,,100%,+6.9,+0.8,54,36,86,26,146,5,513,29,66
2015-16,39,SAS,NBA,C,61,1536,,,,1%,99%,+13.9,+3.9,51,19,70,11,65,4,354,21,38
Career,,,NBA,,1392,47368,,,1%,36%,63%,+9.7,+8.0,1356,1065,1844,434,3834,84,9427,846,1483
